barangay,household_id,member_id,worked_last_week,job_last_week,work_prov,work_city,primary_occupation,industry,nature_of_employment,class_of_worker,basis_of_payment,other_job,worked_hours,want_more_hours,farmer,fisher,looking_for_work,reason_not_looking,availability_for_work,willing_to_work
Anitap,ANI-0006,ANI-0006-3,2,,,,,,,,,,,,1,2,1,,1,2
Anitap,ANI-0006,ANI-0006-4,1,2,697,368,349429,67001,3,6,3,2,31,2,2,2,2,07,,2
Anitap,ANI-0007,ANI-0007-1,1,1,321,829,518775,44742,2,1,4,1,49,1,2,2,2,09,,1
Anitap,ANI-0007,ANI-0007-2,,,,,,,,,,,,,,,,,,
Anitap,ANI-0007,ANI-0007-3,2,,,,,,,,,,,,2,2,2,99,,1
Anitap,ANI-0007,ANI-0007-4,2,,,,,,,,,,,,2,1,1,,1,1
Anitap,ANI-0007,ANI-0007-5,1,2,800,355,707063,67150,2,2,3,1,46,1,2,2,2,01,,2
Anitap,ANI-0008,ANI-0008-1,2,,,,,,,,,,,,2,2,1,,2,1
Anitap,ANI-0008,ANI-0008-2,2,,,,,,,,,,,,1,2,1,,1,1
Anitap,ANI-0008,ANI-0008-3,,,,,,,,,,,,,,,,,,
Anitap,ANI-0009,ANI-0009-1,2,,,,,,,,,,,,2,2,1,,2,1
Anitap,ANI-0009,ANI-0009-2,2,,,,,,,,,,,,2,2,2,01,,1
Anitap,ANI-0009,ANI-0009-3,2,,,,,,,,,,,,2,2,1,,2,1
Anitap,ANI-0009,ANI-0009-4,1,3,332,962,253212,53064,3,2,3,1,47,2,1,2,2,07,,2
Anitap,ANI-0010,ANI-0010-1,2,,,,,,,,,,,,2,2,2,08,,2
Anitap,ANI-0010,ANI-0010-2,1,1,204,466,600548,85302,3,6,3,2,45,1,2,2,2,01,,1
Anitap,ANI-0010,ANI-0010-3,1,3,246,596,164949,93075,2,2,4,2,26,1,2,1,2,01,,2
Anitap,ANI-0010,ANI-0010-4,1,1,914,532,122462,67372,2,1,1,2,57,1,2,1,2,04,,2
Anitap,ANI-0010,ANI-0010-5,,,,,,,,,,,,,,,,,,
Anitap,ANI-0010,ANI-0010-6,2,,,,,,,,,,,,2,2,1,,1,1
Anitap,ANI-0011,ANI-0011-1,2,,,,,,,,,,,,2,2,1,,2,1
Anitap,ANI-0011,ANI-0011-2,,,,,,,,,,,,,,,,,,
Anitap,ANI-0011,ANI-0011-3,1,2,839,375,805934,38761,1,6,7,2,20,1,2,1,2,99,,2
Anitap,ANI-0012,ANI-0012-1,2,,,,,,,,,,,,2,1,1,,2,2
Anitap,ANI-0012,ANI-0012-2,2,,,,,,,,,,,,2,2,2,01,,2
Anitap,ANI-0012,ANI-0012-3,1,2,880,537,751987,31466,3,2,1,2,57,1,2,2,2,09,,2
Anitap,ANI-0012,ANI-0012-4,1,3,605,973,398388,83765,2,6,4,2,23,1,1,2,2,01,,1
Anitap,ANI-0012,ANI-0012-5,1,2,975,563,575398,98397,1,2,3,1,58,1,1,2,2,99,,2
Anitap,ANI-0012,ANI-0012-6,,,,,,,,,,,,,,,,,,
Anitap,ANI-0013,ANI-0013-1,,,,,,,,,,,,,,,,,,
Anitap,ANI-0013,ANI-0013-2,,,,,,,,,,,,,,,,,,
Anitap,ANI-0013,ANI-0013-3,1,3,745,630,932991,51295,3,3,2,1,28,1,2,1,2,07,,2
Anitap,ANI-0013,ANI-0013-4,1,2,768,321,985583,67705,3,1,1,2,55,2,1,2,2,01,,2
Anitap,ANI-0013,ANI-0013-5,1,2,150,362,391336,28656,2,4,7,2,60,1,1,2,2,03,,2
Anitap,ANI-0014,ANI-0014-1,1,2,798,156,502973,94869,2,5,6,1,25,1,2,2,2,07,,2
Anitap,ANI-0014,ANI-0014-2,1,2,486,949,427769,97416,3,2,6,1,32,2,2,2,2,08,,2
Anitap,ANI-0014,ANI-0014-3,1,3,980,678,761201,15429,3,4,0,1,20,2,2,2,2,06,,1
Anitap,ANI-0014,ANI-0014-4,2,,,,,,,,,,,,2,2,1,,1,1
Anitap,ANI-0014,ANI-0014-5,1,2,821,598,119366,75048,3,5,0,1,45,1,1,2,2,03,,2
Anitap,ANI-0015,ANI-0015-1,1,3,432,639,339412,65676,2,0,0,1,32,2,2,2,2,99,,1
Anitap,ANI-0015,ANI-0015-2,1,2,634,681,411347,42012,1,3,2,1,58,1,2,2,2,99,,1
Anitap,ANI-0015,ANI-0015-3,1,3,703,581,995019,12618,1,0,3,1,56,1,2,2,2,05,,2
Anitap,ANI-0015,ANI-0015-4,1,1,960,972,989195,81405,2,0,4,1,47,2,1,2,2,99,,1
Anitap,ANI-0015,ANI-0015-5,2,,,,,,,,,,,,2,2,1,,2,1
Anitap,ANI-0015,ANI-0015-6,2,,,,,,,,,,,,2,2,1,,1,2
Anitap,ANI-0016,ANI-0016-1,2,,,,,,,,,,,,2,2,1,,1,1
Anitap,ANI-0016,ANI-0016-2,2,,,,,,,,,,,,2,2,2,04,,2
Anitap,ANI-0016,ANI-0016-3,1,3,541,771,643344,90190,1,5,6,1,45,2,1,2,2,09,,2
Anitap,ANI-0016,ANI-0016-4,2,,,,,,,,,,,,1,2,1,,1,1
Anitap,ANI-0016,ANI-0016-5,1,2,682,682,948047,12777,1,1,2,2,21,1,2,2,2,03,,1
Anitap,ANI-0016,ANI-0016-6,2,,,,,,,,,,,,2,2,2,09,,2
Anitap,ANI-0017,ANI-0017-1,1,2,180,445,786368,29236,3,4,4,1,33,2,1,2,2,01,,2
Anitap,ANI-0017,ANI-0017-2,1,1,885,152,682203,32061,1,0,0,2,44,1,1,2,2,03,,1
Anitap,ANI-0017,ANI-0017-3,2,,,,,,,,,,,,1,2,1,,2,1
Anitap,ANI-0017,ANI-0017-4,2,,,,,,,,,,,,2,2,1,,2,2
Anitap,ANI-0017,ANI-0017-5,2,,,,,,,,,,,,2,2,1,,1,2
Anitap,ANI-0018,ANI-0018-1,2,,,,,,,,,,,,2,2,1,,1,1
Anitap,ANI-0018,ANI-0018-2,2,,,,,,,,,,,,2,1,1,,1,1
Anitap,ANI-0018,ANI-0018-3,2,,,,,,,,,,,,2,1,1,,1,1
Anitap,ANI-0019,ANI-0019-1,1,3,489,961,876520,17838,1,1,1,1,49,1,1,2,2,02,,1
Anitap,ANI-0019,ANI-0019-2,2,,,,,,,,,,,,2,2,2,01,,1
Anitap,ANI-0019,ANI-0019-3,1,3,926,678,893765,65772,1,0,6,2,22,2,2,2,2,10,,1
Anitap,ANI-0019,ANI-0019-4,1,3,964,984,642909,54919,1,1,0,2,29,1,1,2,2,04,,1
Anitap,ANI-0020,ANI-0020-1,,,,,,,,,,,,,,,,,,
Anitap,ANI-0020,ANI-0020-2,2,,,,,,,,,,,,2,2,2,99,,1
Anitap,ANI-0020,ANI-0020-3,1,1,903,631,863834,67859,1,2,1,2,41,2,1,2,2,03,,2
Anitap,ANI-0021,ANI-0021-1,2,,,,,,,,,,,,1,2,1,,1,1
Anitap,ANI-0021,ANI-0021-2,1,3,175,349,412631,57700,2,2,7,1,34,1,1,2,2,05,,2
Anitap,ANI-0021,ANI-0021-3,1,2,848,190,604533,14008,3,6,1,2,29,1,2,1,2,05,,1
Anitap,ANI-0022,ANI-0022-1,1,2,913,868,653325,93652,2,0,6,1,47,1,1,2,2,99,,1
Anitap,ANI-0022,ANI-0022-2,1,3,311,760,532989,34763,2,5,0,1,20,2,1,2,2,10,,1
Anitap,ANI-0022,ANI-0022-3,1,1,163,839,519383,36147,1,4,5,1,25,1,1,2,2,09,,1
Anitap,ANI-0022,ANI-0022-4,1,3,555,966,269849,75379,2,3,0,2,36,2,2,2,2,09,,1
Anitap,ANI-0022,ANI-0022-5,1,3,704,352,334980,55628,2,5,2,1,57,1,2,2,2,99,,1
Anitap,ANI-0023,ANI-0023-1,1,2,360,900,638644,70023,2,2,0,1,47,2,2,2,2,01,,1
Anitap,ANI-0023,ANI-0023-2,2,,,,,,,,,,,,2,2,2,04,,1
Anitap,ANI-0023,ANI-0023-3,2,,,,,,,,,,,,1,2,1,,1,1
Anitap,ANI-0023,ANI-0023-4,1,2,422,862,432668,41585,2,0,7,1,22,2,2,1,2,01,,2
Anitap,ANI-0023,ANI-0023-5,1,2,389,822,635021,18040,2,4,4,2,42,1,1,2,2,09,,2
Anitap,ANI-0023,ANI-0023-6,1,2,487,586,468596,19759,2,4,1,2,21,1,1,2,2,99,,1
Anitap,ANI-0024,ANI-0024-1,2,,,,,,,,,,,,2,2,2,10,,2
Anitap,ANI-0024,ANI-0024-2,,,,,,,,,,,,,,,,,,
Anitap,ANI-0024,ANI-0024-3,1,1,408,511,797776,52880,3,1,2,2,25,2,1,2,2,02,,2
Anitap,ANI-0024,ANI-0024-4,1,1,290,375,708987,54497,1,5,1,2,56,2,1,2,2,99,,2
Anitap,ANI-0024,ANI-0024-5,1,3,427,599,808234,46651,2,3,0,1,47,2,2,2,2,09,,1
Anitap,ANI-0025,ANI-0025-1,1,2,438,719,263379,12165,3,1,1,2,41,2,2,2,2,08,,1
Anitap,ANI-0025,ANI-0025-2,1,3,822,538,942086,72135,3,0,1,2,46,2,2,2,2,01,,2
Anitap,ANI-0025,ANI-0025-3,,,,,,,,,,,,,,,,,,
Anitap,ANI-0025,ANI-0025-4,2,,,,,,,,,,,,2,2,1,,1,2
Anitap,ANI-0025,ANI-0025-5,1,2,620,853,952636,18053,3,6,2,1,57,2,1,2,2,01,,1
Anitap,ANI-0025,ANI-0025-6,2,,,,,,,,,,,,2,2,2,05,,2
Anitap,ANI-0026,ANI-0026-1,2,,,,,,,,,,,,2,2,2,09,,1
Anitap,ANI-0026,ANI-0026-2,1,3,694,547,894526,14448,1,5,5,1,48,2,1,2,2,03,,1
Anitap,ANI-0026,ANI-0026-3,2,,,,,,,,,,,,1,2,1,,1,1
Anitap,ANI-0026,ANI-0026-4,2,,,,,,,,,,,,2,2,2,03,,2
Anitap,ANI-0026,ANI-0026-5,1,1,901,346,502688,19369,1,4,2,1,31,2,2,2,2,05,,2
Anitap,ANI-0027,ANI-0027-1,,,,,,,,,,,,,,,,,,
Anitap,ANI-0027,ANI-0027-2,2,,,,,,,,,,,,2,2,1,,2,1
Anitap,ANI-0027,ANI-0027-3,2,,,,,,,,,,,,2,2,2,08,,1
Anitap,ANI-0027,ANI-0027-4,1,2,427,442,743629,97025,1,3,3,2,51,2,1,2,2,02,,2
Anitap,ANI-0027,ANI-0027-5,1,3,909,192,492225,69528,3,5,4,2,41,2,2,1,2,01,,1
Anitap,ANI-0028,ANI-0028-1,2,,,,,,,,,,,,2,2,2,04,,2
Anitap,ANI-0028,ANI-0028-2,2,,,,,,,,,,,,1,2,1,,1,2
Anitap,ANI-0028,ANI-0028-3,1,3,885,141,399525,67318,1,0,1,2,55,1,2,2,2,09,,2
Anitap,ANI-0028,ANI-0028-4,2,,,,,,,,,,,,1,2,1,,1,1
Anitap,ANI-0029,ANI-0029-1,2,,,,,,,,,,,,2,2,2,01,,2
Anitap,ANI-0029,ANI-0029-2,,,,,,,,,,,,,,,,,,
Anitap,ANI-0029,ANI-0029-3,1,3,968,727,364164,41926,1,4,1,1,32,2,2,2,2,05,,1
Anitap,ANI-0029,ANI-0029-4,2,,,,,,,,,,,,2,1,1,,1,2
Anitap,ANI-0030,ANI-0030-1,2,,,,,,,,,,,,2,2,2,05,,2
Anitap,ANI-0030,ANI-0030-2,2,,,,,,,,,,,,2,2,1,,2,2
Anitap,ANI-0030,ANI-0030-3,1,1,321,457,265354,96354,3,4,0,1,27,2,1,2,2,05,,1
Manuel Roxas,MAN-0001,MAN-0001-1,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0002,MAN-0002-1,1,3,702,995,502098,22897,2,3,4,1,47,1,1,2,2,04,,1
Manuel Roxas,MAN-0002,MAN-0002-2,1,2,841,448,858377,71667,1,5,2,2,59,2,2,1,2,09,,1
Manuel Roxas,MAN-0002,MAN-0002-3,2,,,,,,,,,,,,2,2,2,03,,1
Manuel Roxas,MAN-0002,MAN-0002-4,2,,,,,,,,,,,,2,2,2,08,,1
Manuel Roxas,MAN-0002,MAN-0002-5,1,1,147,620,882309,31684,3,4,0,1,38,2,2,2,2,09,,2
Manuel Roxas,MAN-0002,MAN-0002-6,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0003,MAN-0003-1,1,2,542,854,225809,83488,1,3,3,1,42,2,2,2,2,01,,1
Manuel Roxas,MAN-0004,MAN-0004-1,1,2,759,872,852844,11241,2,3,2,2,43,1,1,2,2,02,,1
Manuel Roxas,MAN-0004,MAN-0004-2,1,1,960,992,576545,96182,1,5,2,2,20,2,2,2,2,09,,1
Manuel Roxas,MAN-0004,MAN-0004-3,1,1,615,855,215506,45694,1,6,6,2,51,2,2,2,2,09,,2
Manuel Roxas,MAN-0004,MAN-0004-4,1,1,509,969,763633,72289,2,0,7,2,35,2,1,2,2,10,,2
Manuel Roxas,MAN-0004,MAN-0004-5,1,1,524,431,356117,70455,3,5,5,1,41,1,1,2,2,09,,2
Manuel Roxas,MAN-0004,MAN-0004-6,2,,,,,,,,,,,,2,2,1,,2,2
Manuel Roxas,MAN-0005,MAN-0005-1,2,,,,,,,,,,,,2,2,2,03,,1
Manuel Roxas,MAN-0005,MAN-0005-2,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0005,MAN-0005-3,2,,,,,,,,,,,,2,2,2,09,,2
Manuel Roxas,MAN-0006,MAN-0006-1,1,3,634,872,444276,66195,2,0,0,2,46,1,2,1,2,03,,2
Manuel Roxas,MAN-0006,MAN-0006-2,2,,,,,,,,,,,,2,2,2,99,,1
Manuel Roxas,MAN-0007,MAN-0007-1,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0007,MAN-0007-2,1,1,213,564,700469,36008,2,4,5,2,35,1,2,2,2,02,,2
Manuel Roxas,MAN-0008,MAN-0008-1,2,,,,,,,,,,,,2,2,2,99,,1
Manuel Roxas,MAN-0008,MAN-0008-2,2,,,,,,,,,,,,1,2,1,,2,1
Manuel Roxas,MAN-0008,MAN-0008-3,2,,,,,,,,,,,,1,2,1,,2,1
Manuel Roxas,MAN-0008,MAN-0008-4,1,3,816,361,940847,57082,3,2,0,2,58,1,2,2,2,07,,2
Manuel Roxas,MAN-0009,MAN-0009-1,1,2,913,698,372164,85790,2,2,3,2,27,2,2,1,2,99,,1
Manuel Roxas,MAN-0010,MAN-0010-1,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0010,MAN-0010-2,2,,,,,,,,,,,,2,2,1,,1,2
Manuel Roxas,MAN-0011,MAN-0011-1,2,,,,,,,,,,,,2,1,1,,1,1
Manuel Roxas,MAN-0011,MAN-0011-2,2,,,,,,,,,,,,2,2,2,07,,2
Manuel Roxas,MAN-0011,MAN-0011-3,1,2,843,209,588993,72411,2,0,4,2,56,2,2,1,2,07,,2
Manuel Roxas,MAN-0011,MAN-0011-4,1,3,637,855,995892,20609,3,2,1,1,44,1,1,2,2,08,,1
Manuel Roxas,MAN-0012,MAN-0012-1,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0012,MAN-0012-2,1,2,132,650,774309,24184,1,6,3,2,51,1,1,2,2,09,,2
Manuel Roxas,MAN-0012,MAN-0012-3,1,2,371,315,945100,60456,1,4,4,1,27,1,1,2,2,06,,1
Manuel Roxas,MAN-0012,MAN-0012-4,2,,,,,,,,,,,,2,1,1,,1,1
Manuel Roxas,MAN-0012,MAN-0012-5,1,1,707,457,115012,24159,2,4,3,2,53,1,2,1,2,01,,2
Manuel Roxas,MAN-0012,MAN-0012-6,1,1,829,635,400607,92370,2,0,7,1,44,1,1,2,2,01,,2
Manuel Roxas,MAN-0013,MAN-0013-1,1,3,667,584,964444,83595,1,6,7,1,20,2,1,2,2,02,,1
Manuel Roxas,MAN-0013,MAN-0013-2,2,,,,,,,,,,,,2,2,2,07,,2
Manuel Roxas,MAN-0013,MAN-0013-3,2,,,,,,,,,,,,2,2,2,06,,1
Manuel Roxas,MAN-0014,MAN-0014-1,2,,,,,,,,,,,,2,2,1,,1,1
Manuel Roxas,MAN-0015,MAN-0015-1,1,3,388,822,198116,23735,1,4,3,1,23,1,2,2,2,04,,1
Manuel Roxas,MAN-0015,MAN-0015-2,1,2,577,748,185807,66313,1,1,3,1,29,1,2,2,2,08,,1
Manuel Roxas,MAN-0015,MAN-0015-3,1,2,798,406,944135,52695,2,1,3,1,43,1,2,2,2,06,,1
Manuel Roxas,MAN-0016,MAN-0016-1,1,2,702,777,385891,31875,2,0,0,2,48,2,2,2,2,09,,1
Manuel Roxas,MAN-0016,MAN-0016-2,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0016,MAN-0016-3,1,2,839,902,654347,35236,1,6,3,1,47,2,2,1,2,05,,1
Manuel Roxas,MAN-0016,MAN-0016-4,1,2,863,898,366773,46104,1,3,5,1,50,1,2,2,2,06,,2
Manuel Roxas,MAN-0016,MAN-0016-5,1,3,381,704,309325,88569,2,1,6,1,20,1,1,2,2,09,,1
Manuel Roxas,MAN-0016,MAN-0016-6,1,3,211,660,753252,41308,1,1,2,2,50,2,1,2,2,10,,2
Manuel Roxas,MAN-0017,MAN-0017-1,1,2,167,509,362535,77028,2,2,0,2,27,2,2,1,2,99,,2
Manuel Roxas,MAN-0017,MAN-0017-2,1,3,397,387,629342,23797,1,6,2,2,45,2,1,2,2,01,,1
Manuel Roxas,MAN-0017,MAN-0017-3,1,3,329,330,730922,18239,1,2,4,1,54,2,2,2,2,99,,1
Manuel Roxas,MAN-0017,MAN-0017-4,1,1,232,431,558554,41062,1,2,7,2,36,2,1,2,2,01,,1
Manuel Roxas,MAN-0017,MAN-0017-5,1,2,920,858,939734,59827,1,5,7,1,50,1,2,1,2,07,,2
Manuel Roxas,MAN-0017,MAN-0017-6,1,1,593,253,940476,26576,2,3,5,2,32,1,1,2,2,10,,1
Manuel Roxas,MAN-0018,MAN-0018-1,1,1,271,752,897269,56772,3,3,4,1,28,1,1,2,2,08,,2
Manuel Roxas,MAN-0018,MAN-0018-2,1,2,200,488,970635,89538,1,0,1,2,25,2,2,2,2,04,,2
Manuel Roxas,MAN-0018,MAN-0018-3,1,3,330,466,651477,66548,3,1,0,2,32,2,1,2,2,06,,1
Manuel Roxas,MAN-0018,MAN-0018-4,1,1,958,854,160246,11780,1,5,7,2,27,2,1,2,2,06,,1
Manuel Roxas,MAN-0019,MAN-0019-1,1,2,213,418,388780,56052,3,2,3,1,52,2,1,2,2,06,,1
Manuel Roxas,MAN-0019,MAN-0019-2,2,,,,,,,,,,,,2,1,1,,1,2
Manuel Roxas,MAN-0019,MAN-0019-3,2,,,,,,,,,,,,1,2,1,,1,2
Manuel Roxas,MAN-0019,MAN-0019-4,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0019,MAN-0019-5,2,,,,,,,,,,,,1,2,1,,2,2
Manuel Roxas,MAN-0020,MAN-0020-1,2,,,,,,,,,,,,2,1,1,,1,2
Manuel Roxas,MAN-0020,MAN-0020-2,1,2,923,868,451999,84218,3,4,5,1,44,2,2,2,2,01,,1
Manuel Roxas,MAN-0020,MAN-0020-3,1,3,155,496,348764,69179,1,1,1,2,35,2,2,2,2,99,,1
Manuel Roxas,MAN-0021,MAN-0021-1,2,,,,,,,,,,,,2,2,2,07,,1
Manuel Roxas,MAN-0021,MAN-0021-2,1,2,497,976,329314,13967,1,0,4,1,32,1,2,1,2,02,,1
Manuel Roxas,MAN-0021,MAN-0021-3,2,,,,,,,,,,,,1,2,1,,2,1
Manuel Roxas,MAN-0021,MAN-0021-4,1,1,571,139,272041,18243,1,0,6,2,25,1,2,2,2,07,,2
Manuel Roxas,MAN-0021,MAN-0021-5,2,,,,,,,,,,,,2,2,1,,1,1
Manuel Roxas,MAN-0022,MAN-0022-1,1,3,119,186,830672,23942,2,3,7,2,60,2,2,2,2,10,,2
Manuel Roxas,MAN-0023,MAN-0023-1,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0023,MAN-0023-2,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0023,MAN-0023-3,1,3,168,931,996231,82534,3,3,3,1,44,2,2,2,2,08,,1
Manuel Roxas,MAN-0023,MAN-0023-4,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0023,MAN-0023-5,2,,,,,,,,,,,,2,2,1,,1,2
Manuel Roxas,MAN-0023,MAN-0023-6,2,,,,,,,,,,,,2,2,1,,2,2
Manuel Roxas,MAN-0024,MAN-0024-1,1,1,374,682,491872,78256,3,4,7,2,48,1,2,1,2,06,,1
Manuel Roxas,MAN-0024,MAN-0024-2,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0024,MAN-0024-3,1,3,405,648,149084,78928,1,5,7,1,21,2,2,2,2,03,,1
Manuel Roxas,MAN-0024,MAN-0024-4,1,2,182,511,677782,72438,3,1,5,1,53,1,1,2,2,04,,1
Manuel Roxas,MAN-0024,MAN-0024-5,2,,,,,,,,,,,,1,2,1,,2,1
Manuel Roxas,MAN-0024,MAN-0024-6,1,3,351,852,514826,55927,3,6,7,1,25,2,1,2,2,09,,2
Manuel Roxas,MAN-0025,MAN-0025-1,2,,,,,,,,,,,,2,2,2,08,,1
Manuel Roxas,MAN-0025,MAN-0025-2,2,,,,,,,,,,,,2,2,1,,2,2
Manuel Roxas,MAN-0026,MAN-0026-1,1,2,290,526,887437,98300,3,5,6,2,52,2,2,2,2,09,,1
Manuel Roxas,MAN-0026,MAN-0026-2,1,1,273,828,875002,47205,3,4,7,1,32,2,2,1,2,08,,2
Manuel Roxas,MAN-0026,MAN-0026-3,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0026,MAN-0026-4,1,3,642,690,548877,96162,2,4,0,1,38,2,1,2,2,01,,2
Manuel Roxas,MAN-0026,MAN-0026-5,2,,,,,,,,,,,,2,2,2,04,,1
Manuel Roxas,MAN-0026,MAN-0026-6,1,2,400,930,506921,24715,1,5,2,2,58,1,2,2,2,99,,2
Manuel Roxas,MAN-0027,MAN-0027-1,1,1,434,795,279279,72379,3,2,0,1,47,1,2,2,2,05,,1
Manuel Roxas,MAN-0027,MAN-0027-2,1,1,371,575,852264,21701,1,0,6,2,35,1,2,2,2,10,,2
Manuel Roxas,MAN-0027,MAN-0027-3,2,,,,,,,,,,,,2,2,2,03,,2
Manuel Roxas,MAN-0027,MAN-0027-4,2,,,,,,,,,,,,2,2,1,,2,2
Manuel Roxas,MAN-0027,MAN-0027-5,1,2,173,431,413235,97389,1,2,1,1,47,1,2,1,2,05,,1
Manuel Roxas,MAN-0028,MAN-0028-1,2,,,,,,,,,,,,2,2,2,01,,2
Manuel Roxas,MAN-0028,MAN-0028-2,1,1,721,865,658497,91757,3,0,3,2,47,1,1,2,2,01,,2
Manuel Roxas,MAN-0029,MAN-0029-1,2,,,,,,,,,,,,2,2,1,,1,1
Manuel Roxas,MAN-0029,MAN-0029-2,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0029,MAN-0029-3,1,3,473,429,471724,15277,2,0,4,2,28,2,1,2,2,02,,2
Manuel Roxas,MAN-0029,MAN-0029-4,2,,,,,,,,,,,,2,2,2,03,,1
Manuel Roxas,MAN-0029,MAN-0029-5,1,3,465,671,667944,93722,1,5,5,2,57,2,2,1,2,04,,2
Manuel Roxas,MAN-0030,MAN-0030-1,1,2,552,594,271025,51962,3,4,2,2,36,1,2,2,2,09,,1
Manuel Roxas,MAN-0030,MAN-0030-2,1,3,451,244,921731,34208,2,3,4,1,34,2,2,1,2,01,,1
Manuel Roxas,MAN-0030,MAN-0030-3,1,3,737,309,110807,32616,1,5,4,2,35,2,2,2,2,07,,2
Manuel Roxas,MAN-0030,MAN-0030-4,2,,,,,,,,,,,,2,2,2,10,,1
Manuel Roxas,MAN-0030,MAN-0030-5,1,1,112,654,703682,77987,2,2,0,1,39,2,2,2,2,10,,2
Manuel Roxas,MAN-0031,MAN-0031-1,2,,,,,,,,,,,,2,2,2,01,,2
Manuel Roxas,MAN-0031,MAN-0031-2,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0031,MAN-0031-3,1,3,578,259,180155,31988,3,4,1,2,60,2,1,2,2,99,,2
Manuel Roxas,MAN-0031,MAN-0031-4,1,3,995,639,592770,54822,1,6,6,1,27,2,2,1,2,04,,1
Manuel Roxas,MAN-0032,MAN-0032-1,1,2,931,931,607281,13466,2,2,6,2,29,2,2,2,2,02,,2
Manuel Roxas,MAN-0032,MAN-0032-2,1,2,259,904,529835,31540,1,1,0,2,37,2,1,2,2,06,,2
Manuel Roxas,MAN-0032,MAN-0032-3,,,,,,,,,,,,,,,,,,
Manuel Roxas,MAN-0032,MAN-0032-4,2,,,,,,,,,,,,2,2,2,99,,1
Manuel Roxas,MAN-0032,MAN-0032-5,1,2,202,380,694205,18211,1,0,6,1,54,2,1,2,2,05,,1
Manuel Roxas,MAN-0033,MAN-0033-1,2,,,,,,,,,,,,2,2,2,99,,1
Manuel Roxas,MAN-0034,MAN-0034-1,1,2,350,933,498238,30629,2,5,7,1,46,2,2,2,2,03,,1
Manuel Roxas,MAN-0034,MAN-0034-2,2,,,,,,,,,,,,2,2,2,10,,2
Manuel Roxas,MAN-0034,MAN-0034-3,1,3,839,595,654370,33083,2,5,3,1,26,2,2,2,2,10,,2
Manuel Roxas,MAN-0034,MAN-0034-4,1,2,357,792,449533,50095,2,1,3,2,45,1,2,2,2,02,,1
Manuel Roxas,MAN-0034,MAN-0034-5,1,3,198,395,126509,46456,2,6,0,1,51,1,1,2,2,09,,2
Manuel Roxas,MAN-0035,MAN-0035-1,1,1,184,278,696719,76143,2,5,2,1,25,2,2,2,2,99,,1
