barangay,household_id,received_assistance
Don Aurelio Chicote,DON-0060,1
Don Aurelio Chicote,DON-0061,1
Lavigan,LAV-0001,1
Lavigan,LAV-0002,1
Lavigan,LAV-0003,2
Lavigan,LAV-0004,1
Lavigan,LAV-0005,2
Lavigan,LAV-0006,2
Lavigan,LAV-0007,1
Lavigan,LAV-0008,2
Lavigan,LAV-0009,1
Lavigan,LAV-0010,1
Lavigan,LAV-0011,2
Lavigan,LAV-0012,1
Lavigan,LAV-0013,1
Lavigan,LAV-0014,1
Lavigan,LAV-0015,1
Lavigan,LAV-0016,2
Lavigan,LAV-0017,2
Lavigan,LAV-0018,1
Lavigan,LAV-0019,2
Lavigan,LAV-0020,1
Lavigan,LAV-0021,2
Lavigan,LAV-0022,1
Lavigan,LAV-0023,2
Lavigan,LAV-0024,2
Lavigan,LAV-0025,1
Lavigan,LAV-0026,2
Lavigan,LAV-0027,1
Lavigan,LAV-0028,2
Lavigan,LAV-0029,1
Lavigan,LAV-0030,2
Lavigan,LAV-0031,2
Lavigan,LAV-0032,1
Lavigan,LAV-0033,1
Lavigan,LAV-0034,1
Lavigan,LAV-0035,1
Lavigan,LAV-0036,1
Lavigan,LAV-0037,1
Lavigan,LAV-0038,2
Lavigan,LAV-0039,1
Lavigan,LAV-0040,1
Lavigan,LAV-0041,2
Lavigan,LAV-0042,2
Lavigan,LAV-0043,2
Lavigan,LAV-0044,1
Lavigan,LAV-0045,2
Lavigan,LAV-0046,1
Lavigan,LAV-0047,2
Lavigan,LAV-0048,2
Lavigan,LAV-0049,2
Lavigan,LAV-0050,1
Lavigan,LAV-0051,2
Lavigan,LAV-0052,2
Lavigan,LAV-0053,2
Lavigan,LAV-0054,1
Lavigan,LAV-0055,1
Lavigan,LAV-0056,2
Lavigan,LAV-0057,1
Lavigan,LAV-0058,1
Luzon,LUZ-0001,2
Luzon,LUZ-0002,2
Luzon,LUZ-0003,2
Luzon,LUZ-0004,1
Luzon,LUZ-0005,1
Luzon,LUZ-0006,2
Luzon,LUZ-0007,2
Luzon,LUZ-0008,2
Luzon,LUZ-0009,2
Luzon,LUZ-0010,1
Luzon,LUZ-0011,1
Luzon,LUZ-0012,1
Luzon,LUZ-0013,2
Luzon,LUZ-0014,2
Luzon,LUZ-0015,1
Luzon,LUZ-0016,2
Luzon,LUZ-0017,1
Luzon,LUZ-0018,2
Luzon,LUZ-0019,1
Luzon,LUZ-0020,1
Luzon,LUZ-0021,1
Luzon,LUZ-0022,1
Luzon,LUZ-0023,2
Luzon,LUZ-0024,2
Luzon,LUZ-0025,1
Luzon,LUZ-0026,1
Luzon,LUZ-0027,1
Luzon,LUZ-0028,1
Luzon,LUZ-0029,2
Luzon,LUZ-0030,1
Luzon,LUZ-0031,2
Luzon,LUZ-0032,2
Luzon,LUZ-0033,2
Luzon,LUZ-0034,1
Luzon,LUZ-0035,1
Luzon,LUZ-0036,2
Luzon,LUZ-0037,1
Luzon,LUZ-0038,1
Luzon,LUZ-0039,2
Luzon,LUZ-0040,2
Luzon,LUZ-0041,2
Luzon,LUZ-0042,1
Luzon,LUZ-0043,1
Luzon,LUZ-0044,1
Luzon,LUZ-0045,2
Luzon,LUZ-0046,1
Luzon,LUZ-0047,2
Luzon,LUZ-0048,2
Luzon,LUZ-0049,1
Luzon,LUZ-0050,1
Luzon,LUZ-0051,2
Luzon,LUZ-0052,2
Luzon,LUZ-0053,1
Luzon,LUZ-0054,2
Luzon,LUZ-0055,1
Luzon,LUZ-0056,1
Luzon,LUZ-0057,2
Luzon,LUZ-0058,2
Luzon,LUZ-0059,1
Luzon,LUZ-0060,2
Luzon,LUZ-0061,1
Luzon,LUZ-0062,1
Luzon,LUZ-0063,2
Luzon,LUZ-0064,1
Luzon,LUZ-0065,1
Luzon,LUZ-0066,2
Magdug,MAG-0001,1
Magdug,MAG-0002,1
Magdug,MAG-0003,1
Magdug,MAG-0004,1
Magdug,MAG-0005,2
Magdug,MAG-0006,2
Magdug,MAG-0007,2
Magdug,MAG-0008,1
Magdug,MAG-0009,2
Magdug,MAG-0010,2
Magdug,MAG-0011,1
Magdug,MAG-0012,2
Magdug,MAG-0013,1
Magdug,MAG-0014,2
Magdug,MAG-0015,1
Magdug,MAG-0016,1
Magdug,MAG-0017,2
Magdug,MAG-0018,1
Magdug,MAG-0019,1
Magdug,MAG-0020,2
Magdug,MAG-0021,1
Magdug,MAG-0022,1
Magdug,MAG-0023,2
Magdug,MAG-0024,2
Magdug,MAG-0025,2
Magdug,MAG-0026,1
Magdug,MAG-0027,2
Magdug,MAG-0028,2
Magdug,MAG-0029,2
Magdug,MAG-0030,2
Magdug,MAG-0031,2
Magdug,MAG-0032,2
Magdug,MAG-0033,1
Magdug,MAG-0034,2
Magdug,MAG-0035,2
Magdug,MAG-0036,2
Magdug,MAG-0037,1
Magdug,MAG-0038,1
Magdug,MAG-0039,1
Magdug,MAG-0040,2
Magdug,MAG-0041,2
Magdug,MAG-0042,2
Magdug,MAG-0043,2
Magdug,MAG-0044,1
Magdug,MAG-0045,1
Magdug,MAG-0046,1
Magdug,MAG-0047,2
Magdug,MAG-0048,1
Magdug,MAG-0049,1
Magdug,MAG-0050,2
Magdug,MAG-0051,1
Magdug,MAG-0052,1
Monserrat,MON-0001,2
Monserrat,MON-0002,2
Monserrat,MON-0003,1
Monserrat,MON-0004,1
Monserrat,MON-0005,2
Monserrat,MON-0006,1
Monserrat,MON-0007,1
Monserrat,MON-0008,2
Monserrat,MON-0009,1
Monserrat,MON-0010,1
Monserrat,MON-0011,1
Monserrat,MON-0012,1
Monserrat,MON-0013,2
Monserrat,MON-0014,2
Monserrat,MON-0015,1
Monserrat,MON-0016,2
Monserrat,MON-0017,1
Monserrat,MON-0018,2
Monserrat,MON-0019,2
Monserrat,MON-0020,1
Monserrat,MON-0021,2
Monserrat,MON-0022,2
Monserrat,MON-0023,2
Monserrat,MON-0024,1
Monserrat,MON-0025,2
Monserrat,MON-0026,2
Monserrat,MON-0027,2
Monserrat,MON-0028,1
Monserrat,MON-0029,2
Monserrat,MON-0030,1
Monserrat,MON-0031,1
Monserrat,MON-0032,1
Monserrat,MON-0033,1
Monserrat,MON-0034,2
Monserrat,MON-0035,1
Monserrat,MON-0036,2
Monserrat,MON-0037,2
Monserrat,MON-0038,1
Monserrat,MON-0039,2
Monserrat,MON-0040,2
Monserrat,MON-0041,2
Monserrat,MON-0042,1
Monserrat,MON-0043,1
Nangan,NAN-0001,2
Nangan,NAN-0002,2
Nangan,NAN-0003,1
Nangan,NAN-0004,2
Nangan,NAN-0005,1
Nangan,NAN-0006,2
Nangan,NAN-0007,2
Nangan,NAN-0008,2
Nangan,NAN-0009,2
Nangan,NAN-0010,1
Nangan,NAN-0011,2
Nangan,NAN-0012,1
Nangan,NAN-0013,1
Nangan,NAN-0014,1
Nangan,NAN-0015,2
Nangan,NAN-0016,2
Nangan,NAN-0017,2
Nangan,NAN-0018,1
Nangan,NAN-0019,1
Nangan,NAN-0020,2
Nangan,NAN-0021,1
Nangan,NAN-0022,1
Nangan,NAN-0023,2
Nangan,NAN-0024,1
Nangan,NAN-0025,1
Nangan,NAN-0026,2
Nangan,NAN-0027,1
Nangan,NAN-0028,2
Nangan,NAN-0029,1
Nangan,NAN-0030,1
Nangan,NAN-0031,1
Nangan,NAN-0032,1
Nangan,NAN-0033,2
Nangan,NAN-0034,2
Nangan,NAN-0035,2
Nangan,NAN-0036,2
Nangan,NAN-0037,1
Nangan,NAN-0038,1
Nangan,NAN-0039,2
Nangan,NAN-0040,1
Nangan,NAN-0041,1
Nangan,NAN-0042,1
Nangan,NAN-0043,2
Nangan,NAN-0044,2
Nangan,NAN-0045,1
Nangan,NAN-0046,1
Nangan,NAN-0047,2
Nangan,NAN-0048,2
Nangan,NAN-0049,2
Nangan,NAN-0050,2
Nangan,NAN-0051,2
Nangan,NAN-0052,2
Nangan,NAN-0053,1
Nangan,NAN-0054,2
Nangan,NAN-0055,2
Nangan,NAN-0056,1
Nangan,NAN-0057,1
Nangan,NAN-0058,2
Nangan,NAN-0059,2
Nangan,NAN-0060,2
Nangan,NAN-0061,1
Nangan,NAN-0062,2
Nangan,NAN-0063,2
Nangan,NAN-0064,2
Nangan,NAN-0065,2
Nangan,NAN-0066,2
Nangan,NAN-0067,2
Nangan,NAN-0068,1
Nangan,NAN-0069,1
Nangan,NAN-0070,1
Nangan,NAN-0071,1
Nangan,NAN-0072,1
Nangan,NAN-0073,2
Nangan,NAN-0074,1
Nangan,NAN-0075,1
Nangan,NAN-0076,2
Nangan,NAN-0077,1
Nangan,NAN-0078,2
Nangan,NAN-0079,1
Nangan,NAN-0080,2
Nangan,NAN-0081,1
Nangan,NAN-0082,2
Nangan,NAN-0083,2
Nangan,NAN-0084,2
Nangan,NAN-0085,2
Nangan,NAN-0086,2
Nangan,NAN-0087,1
Nangan,NAN-0088,1
Nangan,NAN-0089,2
Nangan,NAN-0090,2
Nangan,NAN-0091,2
Nangan,NAN-0092,2
Nangan,NAN-0093,2
Nangan,NAN-0094,1
Nangan,NAN-0095,1
Nangan,NAN-0096,1
Nangan,NAN-0097,1
Nangan,NAN-0098,1
Nangan,NAN-0099,1
Nangan,NAN-0100,2
Nangan,NAN-0101,1
Nangan,NAN-0102,1
Nangan,NAN-0103,2
Nangan,NAN-0104,2
Nangan,NAN-0105,2
Nangan,NAN-0106,2
Nangan,NAN-0107,1
Nangan,NAN-0108,1
Nangan,NAN-0109,2
Nangan,NAN-0110,2
Nangan,NAN-0111,2
Nangan,NAN-0112,1
Oregon,ORE-0001,1
Oregon,ORE-0002,2
Oregon,ORE-0003,2
Oregon,ORE-0004,2
Oregon,ORE-0005,2
Oregon,ORE-0006,2
Oregon,ORE-0007,1
Oregon,ORE-0008,2
Oregon,ORE-0009,2
Oregon,ORE-0010,2
Oregon,ORE-0011,1
Oregon,ORE-0012,2
Oregon,ORE-0013,1
Oregon,ORE-0014,2
Oregon,ORE-0015,2
Oregon,ORE-0016,1
Oregon,ORE-0017,2
Oregon,ORE-0018,1
Oregon,ORE-0019,2
Oregon,ORE-0020,2
Oregon,ORE-0021,2
Oregon,ORE-0022,2
Oregon,ORE-0023,2
Oregon,ORE-0024,1
Oregon,ORE-0025,2
Oregon,ORE-0026,2
Poblacion,POB-0001,1
Poblacion,POB-0002,2
Poblacion,POB-0003,2
Poblacion,POB-0004,2
Poblacion,POB-0005,2
Poblacion,POB-0006,1
Poblacion,POB-0007,1
Poblacion,POB-0008,2
Poblacion,POB-0009,2
Poblacion,POB-0010,2
Poblacion,POB-0011,2
Poblacion,POB-0012,1
Poblacion,POB-0013,2
Poblacion,POB-0014,1
Poblacion,POB-0015,1
Poblacion,POB-0016,1
Poblacion,POB-0017,1
Poblacion,POB-0018,1
Poblacion,POB-0019,1
Poblacion,POB-0020,2
Poblacion,POB-0021,1
Poblacion,POB-0022,1
Poblacion,POB-0023,1
Poblacion,POB-0024,1
Poblacion,POB-0025,1
Poblacion,POB-0026,1
Poblacion,POB-0027,2
Poblacion,POB-0028,1
Poblacion,POB-0029,1
Poblacion,POB-0030,2
Poblacion,POB-0031,2
Poblacion,POB-0032,2
Poblacion,POB-0033,2
Poblacion,POB-0034,1
Poblacion,POB-0035,2
Poblacion,POB-0036,1
Poblacion,POB-0037,2
Poblacion,POB-0038,2
Poblacion,POB-0039,1
Poblacion,POB-0040,1
Poblacion,POB-0041,1
Poblacion,POB-0042,1
Poblacion,POB-0043,2
Poblacion,POB-0044,2
Poblacion,POB-0045,1
Poblacion,POB-0046,1
Poblacion,POB-0047,2
Poblacion,POB-0048,1
Poblacion,POB-0049,1
Poblacion,POB-0050,2
Poblacion,POB-0051,1
Poblacion,POB-0052,2
Poblacion,POB-0053,2
Poblacion,POB-0054,2
Poblacion,POB-0055,1
Poblacion,POB-0056,2
Poblacion,POB-0057,1
Poblacion,POB-0058,2
Poblacion,POB-0059,1
Poblacion,POB-0060,1
Poblacion,POB-0061,2
Poblacion,POB-0062,1
Poblacion,POB-0063,1
Poblacion,POB-0064,1
Poblacion,POB-0065,1
Poblacion,POB-0066,2
Poblacion,POB-0067,2
Poblacion,POB-0068,1
Poblacion,POB-0069,2
Poblacion,POB-0070,2
Poblacion,POB-0071,1
Poblacion,POB-0072,2
Poblacion,POB-0073,1
Poblacion,POB-0074,1
Poblacion,POB-0075,1
Poblacion,POB-0076,2
Poblacion,POB-0077,1
Poblacion,POB-0078,2
Poblacion,POB-0079,2
Poblacion,POB-0080,1
Poblacion,POB-0081,1
Poblacion,POB-0082,1
Poblacion,POB-0083,2
Poblacion,POB-0084,2
Poblacion,POB-0085,1
Poblacion,POB-0086,2
Poblacion,POB-0087,2
Poblacion,POB-0088,1
Poblacion,POB-0089,2
Poblacion,POB-0090,2
Poblacion,POB-0091,2
Poblacion,POB-0092,1
Poblacion,POB-0093,1
Poblacion,POB-0094,1
Poblacion,POB-0095,1
Poblacion,POB-0096,2
Poblacion,POB-0097,1
Poblacion,POB-0098,1
Poblacion,POB-0099,1
Poblacion,POB-0100,1
Poblacion,POB-0101,1
Poblacion,POB-0102,1
Poblacion,POB-0103,2
Poblacion,POB-0104,1
Poblacion,POB-0105,2
Poblacion,POB-0106,1
Poblacion,POB-0107,2
Poblacion,POB-0108,2
Poblacion,POB-0109,1
Poblacion,POB-0110,1
Poblacion,POB-0111,1
Poblacion,POB-0112,1
Poblacion,POB-0113,2
Poblacion,POB-0114,2
Poblacion,POB-0115,2
Poblacion,POB-0116,2
Poblacion,POB-0117,2
Poblacion,POB-0118,1
Poblacion,POB-0119,1
Poblacion,POB-0120,2
Poblacion,POB-0121,1
Poblacion,POB-0122,2
Poblacion,POB-0123,2
Poblacion,POB-0124,1
Pundaguitan,PUN-0001,1
Pundaguitan,PUN-0002,2
Pundaguitan,PUN-0003,2
Pundaguitan,PUN-0004,1
Pundaguitan,PUN-0005,2
Pundaguitan,PUN-0006,1
Pundaguitan,PUN-0007,2
Pundaguitan,PUN-0008,2
Pundaguitan,PUN-0009,2
Pundaguitan,PUN-0010,2
Pundaguitan,PUN-0011,1
Pundaguitan,PUN-0012,1
Pundaguitan,PUN-0013,1
Pundaguitan,PUN-0014,2
Pundaguitan,PUN-0015,2
Pundaguitan,PUN-0016,1
Pundaguitan,PUN-0017,1
Pundaguitan,PUN-0018,2
Pundaguitan,PUN-0019,1
Pundaguitan,PUN-0020,1
Pundaguitan,PUN-0021,1
Pundaguitan,PUN-0022,1
Pundaguitan,PUN-0023,2
Pundaguitan,PUN-0024,1
Pundaguitan,PUN-0025,2
Pundaguitan,PUN-0026,2
Pundaguitan,PUN-0027,2
Pundaguitan,PUN-0028,2
Pundaguitan,PUN-0029,1
Pundaguitan,PUN-0030,2
Pundaguitan,PUN-0031,2
Pundaguitan,PUN-0032,1
Pundaguitan,PUN-0033,2
Pundaguitan,PUN-0034,2
Pundaguitan,PUN-0035,2
Pundaguitan,PUN-0036,2
Pundaguitan,PUN-0037,2
Pundaguitan,PUN-0038,2
Pundaguitan,PUN-0039,1
Pundaguitan,PUN-0040,1
Pundaguitan,PUN-0041,1
Pundaguitan,PUN-0042,2
Pundaguitan,PUN-0043,2
Pundaguitan,PUN-0044,2
Pundaguitan,PUN-0045,2
Pundaguitan,PUN-0046,2
Pundaguitan,PUN-0047,1
Pundaguitan,PUN-0048,2
Pundaguitan,PUN-0049,2
Pundaguitan,PUN-0050,2
Pundaguitan,PUN-0051,2
Pundaguitan,PUN-0052,2
Pundaguitan,PUN-0053,1
Pundaguitan,PUN-0054,2
Sergio Osmeña,SER-0001,2
Sergio Osmeña,SER-0002,1
Sergio Osmeña,SER-0003,2
Sergio Osmeña,SER-0004,2
Sergio Osmeña,SER-0005,1
Sergio Osmeña,SER-0006,1
Sergio Osmeña,SER-0007,1
Sergio Osmeña,SER-0008,1
Sergio Osmeña,SER-0009,2
Sergio Osmeña,SER-0010,2
Sergio Osmeña,SER-0011,2
Sergio Osmeña,SER-0012,2
Sergio Osmeña,SER-0013,2
Sergio Osmeña,SER-0014,2
Sergio Osmeña,SER-0015,2
Sergio Osmeña,SER-0016,2
Sergio Osmeña,SER-0017,1
Sergio Osmeña,SER-0018,1
Sergio Osmeña,SER-0019,1
Sergio Osmeña,SER-0020,2
Sergio Osmeña,SER-0021,2
Sergio Osmeña,SER-0022,2
Sergio Osmeña,SER-0023,2
Sergio Osmeña,SER-0024,1
Sergio Osmeña,SER-0025,2
Sergio Osmeña,SER-0026,1
Sergio Osmeña,SER-0027,2
Sergio Osmeña,SER-0028,2
Sergio Osmeña,SER-0029,1
Sergio Osmeña,SER-0030,2
Sergio Osmeña,SER-0031,1
Sergio Osmeña,SER-0032,1
Sergio Osmeña,SER-0033,1
Sergio Osmeña,SER-0034,2
Sergio Osmeña,SER-0035,2
Sergio Osmeña,SER-0036,1
Sergio Osmeña,SER-0037,1
Sergio Osmeña,SER-0038,2
Sergio Osmeña,SER-0039,1
Sergio Osmeña,SER-0040,2
Sergio Osmeña,SER-0041,2
Sergio Osmeña,SER-0042,1
Sergio Osmeña,SER-0043,1
Surop,SUR-0001,2
Surop,SUR-0002,1
Surop,SUR-0003,2
Surop,SUR-0004,1
Surop,SUR-0005,1
Surop,SUR-0006,1
Surop,SUR-0007,2
Surop,SUR-0008,1
Surop,SUR-0009,1
Surop,SUR-0010,1
Surop,SUR-0011,2
Surop,SUR-0012,2
Surop,SUR-0013,1
Surop,SUR-0014,1
Surop,SUR-0015,2
Surop,SUR-0016,2
Surop,SUR-0017,2
Surop,SUR-0018,1
Surop,SUR-0019,2
Surop,SUR-0020,2
Surop,SUR-0021,2
Surop,SUR-0022,1
Surop,SUR-0023,1
Surop,SUR-0024,1
Surop,SUR-0025,1
Surop,SUR-0026,1
Surop,SUR-0027,1
Surop,SUR-0028,2
Surop,SUR-0029,2
Surop,SUR-0030,1
Surop,SUR-0031,1
Surop,SUR-0032,1
Surop,SUR-0033,2
Surop,SUR-0034,2
Surop,SUR-0035,1
Surop,SUR-0036,2
Surop,SUR-0037,1
Surop,SUR-0038,2
Surop,SUR-0039,1
Surop,SUR-0040,1
Surop,SUR-0041,1
Surop,SUR-0042,1
Surop,SUR-0043,2
Surop,SUR-0044,2
Surop,SUR-0045,1
Surop,SUR-0046,1
Surop,SUR-0047,1
Surop,SUR-0048,2
Surop,SUR-0049,2
Surop,SUR-0050,2
Surop,SUR-0051,1
Surop,SUR-0052,2
Surop,SUR-0053,1
Surop,SUR-0054,2
Surop,SUR-0055,2
Surop,SUR-0056,2
Surop,SUR-0057,2
Surop,SUR-0058,2
Tagabebe,TAG-0001,1
Tagabebe,TAG-0002,2
Tagabebe,TAG-0003,1
Tagabebe,TAG-0004,1
Tagabebe,TAG-0005,2
Tagabebe,TAG-0006,1
Tagabebe,TAG-0007,1
Tagabebe,TAG-0008,1
Tagabebe,TAG-0009,1
Tagabebe,TAG-0010,2
Tagabebe,TAG-0011,1
Tagabebe,TAG-0012,2
Tagabebe,TAG-0013,1
Tagabebe,TAG-0014,2
Tagabebe,TAG-0015,2
Tagabebe,TAG-0016,1
Tagabebe,TAG-0017,1
Tagabebe,TAG-0018,1
Tagabebe,TAG-0019,1
Tagabebe,TAG-0020,2
Tagabebe,TAG-0021,2
Tagabebe,TAG-0022,2
Tagabebe,TAG-0023,1
Tagabebe,TAG-0024,2
Tagabebe,TAG-0025,1
Tagabebe,TAG-0026,2
Tagabebe,TAG-0027,2
Tagabebe,TAG-0028,2
Tagabebe,TAG-0029,1
Tagabebe,TAG-0030,2
Tagabebe,TAG-0031,1
Tagabebe,TAG-0032,1
Tagabebe,TAG-0033,2
Tagabebe,TAG-0034,1
Tagabebe,TAG-0035,2
Tagabebe,TAG-0036,2
Tagabebe,TAG-0037,2
Tagabebe,TAG-0038,1
Tagabebe,TAG-0039,1
Tagabebe,TAG-0040,1
Tagabebe,TAG-0041,2
Tagabebe,TAG-0042,1
Tagabebe,TAG-0043,2
Tagabebe,TAG-0044,1
Tagabebe,TAG-0045,1
Tagabebe,TAG-0046,1
Tagabebe,TAG-0047,1
Tamban,TAM-0001,1
Tamban,TAM-0002,2
Tamban,TAM-0003,2
Tamban,TAM-0004,2
Tamban,TAM-0005,2
Tamban,TAM-0006,1
Tamban,TAM-0007,2
Tamban,TAM-0008,2
Tamban,TAM-0009,2
Tamban,TAM-0010,2
Tamban,TAM-0011,1
Tamban,TAM-0012,2
Tamban,TAM-0013,2
Tamban,TAM-0014,1
Tamban,TAM-0015,1
Tamban,TAM-0016,2
Tamban,TAM-0017,2
Tamban,TAM-0018,1
Tamban,TAM-0019,1
Tamban,TAM-0020,1
Tamban,TAM-0021,1
Tamban,TAM-0022,1
Tamban,TAM-0023,1
Tamban,TAM-0024,2
Tamban,TAM-0025,1
Tamban,TAM-0026,2
Tamban,TAM-0027,2
Tamban,TAM-0028,2
Tamban,TAM-0029,2
Tamban,TAM-0030,1
Tamban,TAM-0031,1
Tamban,TAM-0032,2
Tamban,TAM-0033,2
Tamban,TAM-0034,1
Tamban,TAM-0035,2
Tamban,TAM-0036,1
Tandang Sora,TAN-0001,1
Tandang Sora,TAN-0002,1
Tandang Sora,TAN-0003,1
Tandang Sora,TAN-0004,1
Tandang Sora,TAN-0005,2
Tandang Sora,TAN-0006,1
Tandang Sora,TAN-0007,2
Tandang Sora,TAN-0008,2
Tandang Sora,TAN-0009,1
Tandang Sora,TAN-0010,2
Tandang Sora,TAN-0011,2
Tandang Sora,TAN-0012,2
Tandang Sora,TAN-0013,2
Tandang Sora,TAN-0014,2
Tandang Sora,TAN-0015,2
Tandang Sora,TAN-0016,1
Tandang Sora,TAN-0017,1
Tandang Sora,TAN-0018,2
Tandang Sora,TAN-0019,1
Tandang Sora,TAN-0020,1
Tandang Sora,TAN-0021,1
Tandang Sora,TAN-0022,1
Tandang Sora,TAN-0023,1
Tandang Sora,TAN-0024,1
Tandang Sora,TAN-0025,1
Tandang Sora,TAN-0026,2
Tandang Sora,TAN-0027,1
Tandang Sora,TAN-0028,2
Tandang Sora,TAN-0029,1
Tandang Sora,TAN-0030,2
Tandang Sora,TAN-0031,2
Tandang Sora,TAN-0032,1
Tandang Sora,TAN-0033,2
Tandang Sora,TAN-0034,2
Tibanban,TIB-0001,1
Tibanban,TIB-0002,1
Tibanban,TIB-0003,1
Tibanban,TIB-0004,2
Tibanban,TIB-0005,2
Tibanban,TIB-0006,2
Tibanban,TIB-0007,2
Tibanban,TIB-0008,2
Tibanban,TIB-0009,2
Tibanban,TIB-0010,1
