barangay,household_id,building_type,num_floors,roof_material,wall_material,housing_material,floor_area,num_bedrooms,tenure_status,date_construction,electricity,lighting_fuel,cooking_fuel,num_refrigerator,num_aircon,num_washing_machine,num_stove,num_radio,num_tv,num_stereo,num_landline,num_cellphone_keypad,num_cellphone_smart,num_tablet,num_computer,num_car,num_van,num_jeep,num_truck,num_motorcycle,num_ebike,num_tricycle,num_bicycle,num_pedicab,num_motorboat,num_nonmotorboat
Manuel Roxas,MAN-0001,4,1,1,1,5,108.4,5,3,1997-03,2,9,9,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0
Manuel Roxas,MAN-0002,1,1,6,3,9,52.55,2,7,1990-12,1,1,4,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0
Manuel Roxas,MAN-0003,2,2,6,1,4,82.66,5,3,1990-08,2,2,4,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
Manuel Roxas,MAN-0004,8,1,4,2,9,106.87,1,3,1981-01,2,2,1,1,1,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
Manuel Roxas,MAN-0005,2,1,3,6,5,115.82,1,3,1999-03,1,1,5,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
Manuel Roxas,MAN-0006,7,1,1,2,5,81.05,5,1,2023-05,1,1,1,1,0,0,1,1,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Manuel Roxas,MAN-0007,2,1,3,5,1,149.06,5,3,1983-10,1,1,6,0,0,0,0,0,0,1,0,3,0,0,0,1,1,0,0,0,0,1,2,0,1,1
Manuel Roxas,MAN-0008,8,1,3,1,2,52.99,4,6,1982-07,1,1,5,1,0,0,1,0,0,0,1,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0
Manuel Roxas,MAN-0009,9,1,2,7,5,47.73,1,3,2024-04,1,1,9,0,0,1,0,1,1,0,0,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0
Manuel Roxas,MAN-0010,2,1,6,4,3,35.68,1,3,2005-12,1,1,6,0,0,0,1,1,1,1,0,3,0,0,0,0,0,0,1,0,0,0,2,0,1,0
Manuel Roxas,MAN-0011,6,1,2,6,4,147.76,3,6,2023-03,1,1,2,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0
Manuel Roxas,MAN-0012,1,1,1,4,3,62.86,1,4,1993-08,1,1,6,0,0,0,1,2,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0
Manuel Roxas,MAN-0013,3,2,6,1,9,140.73,3,4,1995-05,1,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Manuel Roxas,MAN-0014,10,1,1,2,9,142.93,3,3,2007-01,1,1,2,1,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1,0,0,0
Manuel Roxas,MAN-0015,10,1,5,2,6,82.6,4,5,2011-02,1,1,5,0,1,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Manuel Roxas,MAN-0016,2,1,1,4,9,102.26,2,7,2001-05,1,1,5,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,2
Manuel Roxas,MAN-0017,2,1,3,1,2,133.21,2,1,2009-07,1,1,6,1,0,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,1
Manuel Roxas,MAN-0018,3,1,2,4,9,145.33,2,3,2005-09,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Roxas,MAN-0019,2,1,1,3,3,115.41,2,2,2016-12,1,1,4,0,0,0,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Manuel Roxas,MAN-0020,1,1,5,4,9,132.1,4,1,1991-08,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Manuel Roxas,MAN-0021,5,1,2,5,3,68.37,3,5,2001-11,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Manuel Roxas,MAN-0022,3,1,2,2,5,117.61,4,5,1983-03,1,1,6,0,0,0,2,2,0,0,0,3,2,0,0,0,0,0,1,2,0,0,0,0,0,0
Manuel Roxas,MAN-0023,4,1,1,5,6,89.32,1,7,2014-03,1,1,5,0,0,1,1,0,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Manuel Roxas,MAN-0024,10,1,2,2,9,142.09,4,6,1991-02,1,1,5,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,0,0,0
Manuel Roxas,MAN-0025,8,1,1,1,5,139.75,4,6,1989-04,1,1,2,0,1,0,2,2,2,0,1,3,0,0,0,0,0,0,1,2,0,0,0,0,0,2
Manuel Roxas,MAN-0026,10,1,3,1,1,33.38,2,7,1995-08,1,1,4,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Manuel Roxas,MAN-0027,9,1,3,2,5,131.0,4,6,2019-12,1,1,1,1,1,1,2,2,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Manuel Roxas,MAN-0028,1,1,1,1,9,39.6,1,3,2001-11,1,1,4,1,0,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Roxas,MAN-0029,6,1,2,2,4,33.65,2,2,2019-04,1,1,1,1,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0
Manuel Roxas,MAN-0030,1,1,6,2,1,65.17,2,3,1982-10,1,1,1,0,0,0,2,1,1,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Manuel Roxas,MAN-0031,9,1,6,4,3,83.96,5,6,2008-03,1,1,4,1,0,1,0,0,2,0,0,3,2,1,0,1,0,0,0,2,0,0,0,0,0,2
Manuel Roxas,MAN-0032,10,1,2,2,6,130.04,5,3,1990-01,1,1,9,0,0,0,2,2,0,0,0,3,1,0,0,0,0,0,0,2,0,1,0,0,0,0
Manuel Roxas,MAN-0033,10,1,2,5,9,72.09,3,2,2017-04,1,1,6,0,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0
Manuel Roxas,MAN-0034,8,1,3,1,2,41.66,1,2,1996-02,1,1,1,0,0,1,1,1,0,0,1,3,2,0,0,1,0,0,0,0,0,1,1,0,0,0
Manuel Roxas,MAN-0035,2,1,3,5,6,76.32,4,4,1983-03,1,1,3,1,0,0,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0
Manuel Roxas,MAN-0036,8,1,1,5,5,144.41,5,3,2011-09,1,1,6,0,0,0,2,1,0,0,0,2,1,0,1,1,0,0,0,2,0,0,1,0,0,1
Manuel Roxas,MAN-0037,7,2,1,5,6,88.5,1,2,2016-04,1,1,3,1,0,0,1,2,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0
Manuel Roxas,MAN-0038,1,1,2,5,6,126.31,4,3,2014-02,1,1,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Manuel Roxas,MAN-0039,4,1,3,5,9,122.02,3,3,1999-02,1,1,5,1,0,0,1,2,2,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0
Manuel Roxas,MAN-0040,9,2,6,7,6,149.43,2,7,1999-07,1,1,3,1,0,0,2,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,2
Manuel Roxas,MAN-0041,4,1,1,3,2,46.73,4,1,2007-02,1,1,6,0,0,0,2,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0
Manuel Roxas,MAN-0042,1,1,1,3,3,119.08,2,5,1995-06,1,1,5,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,2,0,0,1
Manuel Roxas,MAN-0043,8,2,3,2,4,119.64,3,6,1999-03,2,6,1,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Manuel Roxas,MAN-0044,6,1,2,4,5,40.76,4,5,2002-03,1,1,9,0,0,1,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Roxas,MAN-0045,5,1,3,1,9,57.28,4,3,1996-09,1,1,1,1,0,1,1,0,0,1,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Manuel Roxas,MAN-0046,5,1,6,3,6,34.76,3,7,2000-08,1,1,6,1,1,0,1,1,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2
Manuel Roxas,MAN-0047,5,1,1,4,6,48.74,1,7,1990-05,1,1,2,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,1
Manuel Roxas,MAN-0048,2,1,1,3,2,80.6,2,4,1992-09,1,1,1,0,0,0,1,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Manuel Roxas,MAN-0049,5,1,5,4,1,81.64,4,1,2015-05,1,1,5,0,0,1,2,2,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Manuel Roxas,MAN-0050,6,1,7,1,9,114.07,5,7,1997-02,1,1,1,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Roxas,MAN-0051,7,1,1,1,2,67.03,2,5,2000-03,1,1,3,0,0,1,2,2,0,0,0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
Manuel Roxas,MAN-0052,10,1,4,3,4,72.21,4,7,1998-05,1,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Manuel Roxas,MAN-0053,10,1,1,7,9,50.95,3,4,1981-09,1,1,1,1,0,0,1,0,2,1,0,2,2,0,0,0,0,0,0,0,0,1,2,0,1,0
Manuel Roxas,MAN-0054,6,1,6,2,2,53.05,2,7,2021-05,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,0,1,1,0,0
Manuel Roxas,MAN-0055,7,2,1,3,4,140.53,4,3,1981-12,1,1,2,0,0,0,2,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0
Manuel Roxas,MAN-0056,8,1,6,3,3,73.4,4,5,1989-12,1,1,6,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,1,0
Manuel Roxas,MAN-0057,2,1,4,2,2,67.27,5,4,1986-05,1,1,9,1,1,0,1,2,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0
Manuel Roxas,MAN-0058,3,1,4,1,4,144.23,4,3,2022-05,1,1,9,1,1,0,1,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0
Don Aurelio Chicote,DON-0001,9,1,1,1,6,53.44,4,1,1999-05,1,1,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Don Aurelio Chicote,DON-0002,7,1,3,3,6,63.38,2,6,1989-02,1,1,9,1,0,0,2,2,1,1,1,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0
Don Aurelio Chicote,DON-0003,3,1,1,5,2,117.7,5,4,2014-07,1,1,2,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Aurelio Chicote,DON-0004,1,1,2,7,9,119.88,2,3,2001-12,2,6,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Don Aurelio Chicote,DON-0005,7,1,4,5,1,67.55,4,5,2021-10,1,1,4,0,0,0,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,2
Don Aurelio Chicote,DON-0006,2,2,1,3,3,126.6,1,3,2009-03,2,6,9,1,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Don Aurelio Chicote,DON-0007,6,1,4,3,1,90.38,4,4,2012-01,1,1,6,1,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Don Aurelio Chicote,DON-0008,2,1,4,2,5,130.04,3,7,1999-02,1,1,6,0,0,1,0,1,2,0,0,2,0,1,1,0,0,1,0,1,1,0,1,0,0,0
Don Aurelio Chicote,DON-0009,1,1,6,4,4,142.42,1,5,2006-09,1,1,1,0,0,0,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Aurelio Chicote,DON-0010,4,1,1,4,4,41.82,5,4,2004-09,1,1,6,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2
Don Aurelio Chicote,DON-0011,6,1,4,5,1,48.93,5,6,1989-02,1,1,3,0,0,1,1,1,2,0,1,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Don Aurelio Chicote,DON-0012,6,1,6,1,3,35.69,4,3,1997-05,1,1,4,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Don Aurelio Chicote,DON-0013,9,1,3,3,4,95.22,4,1,2023-09,1,1,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0
Don Aurelio Chicote,DON-0014,10,1,2,3,4,109.64,2,7,1991-12,1,1,3,0,0,1,2,2,0,1,1,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0
Don Aurelio Chicote,DON-0015,3,1,1,5,3,145.13,2,5,1994-09,1,1,5,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0
Don Aurelio Chicote,DON-0016,2,1,1,1,2,89.68,5,5,2001-01,2,2,9,0,0,1,2,2,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Don Aurelio Chicote,DON-0017,8,1,7,5,2,56.86,4,4,1992-06,1,1,4,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2
Don Aurelio Chicote,DON-0018,6,1,3,1,6,64.88,5,6,2001-05,1,1,2,0,1,1,0,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Aurelio Chicote,DON-0019,2,2,3,4,3,37.49,3,7,1984-08,1,1,4,0,0,0,1,0,2,0,1,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1
Don Aurelio Chicote,DON-0020,3,1,1,4,2,90.48,4,7,2002-02,1,1,9,1,1,0,1,0,2,0,0,3,2,0,0,0,0,1,0,2,0,0,2,0,0,0
Don Aurelio Chicote,DON-0021,7,1,6,2,2,41.33,1,4,1992-02,1,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2
Don Aurelio Chicote,DON-0022,9,1,1,2,4,108.3,4,6,2000-06,1,1,6,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Don Aurelio Chicote,DON-0023,2,1,2,5,4,103.14,5,5,2003-11,1,1,9,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Don Aurelio Chicote,DON-0024,5,1,6,5,5,103.38,2,7,1984-06,1,1,6,0,0,0,1,1,2,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Don Aurelio Chicote,DON-0025,2,2,3,2,5,90.27,1,2,2000-11,1,1,4,0,0,0,1,1,2,0,0,3,0,0,1,0,0,0,0,2,0,0,2,0,0,1
Don Aurelio Chicote,DON-0026,4,1,2,1,2,50.51,3,1,2000-03,1,1,5,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Don Aurelio Chicote,DON-0027,2,1,5,3,9,118.82,2,4,1980-06,1,1,2,0,0,0,2,1,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,1,1
Don Aurelio Chicote,DON-0028,5,1,1,5,4,113.04,2,5,2016-06,1,1,6,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,1,0
Don Aurelio Chicote,DON-0029,7,1,2,2,1,40.14,3,4,2008-08,1,1,1,1,0,0,1,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Don Aurelio Chicote,DON-0030,5,1,1,4,4,118.05,5,2,2024-12,1,1,3,1,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Don Aurelio Chicote,DON-0031,10,2,5,1,2,58.62,4,4,1990-01,1,1,1,0,0,1,2,2,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0
Don Aurelio Chicote,DON-0032,4,1,1,6,1,35.37,4,4,2006-12,1,1,9,1,1,1,2,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Don Aurelio Chicote,DON-0033,4,1,2,3,6,74.17,2,3,1993-10,2,9,1,0,0,0,1,0,2,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Don Aurelio Chicote,DON-0034,3,1,1,6,6,91.4,1,6,2013-12,1,1,3,0,0,0,1,0,1,0,0,3,1,0,1,0,0,0,0,1,0,0,0,0,0,0
Don Aurelio Chicote,DON-0035,7,1,3,3,1,64.14,4,1,1999-11,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0,1
Don Aurelio Chicote,DON-0036,6,1,4,6,6,103.79,1,2,2023-09,1,1,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1
Don Aurelio Chicote,DON-0037,6,1,3,4,1,107.26,4,3,1981-12,1,1,6,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Don Aurelio Chicote,DON-0038,4,1,6,3,3,60.91,5,1,1995-05,2,3,3,0,0,0,1,1,1,0,0,3,0,0,0,1,0,0,0,2,0,0,1,0,0,0
Don Aurelio Chicote,DON-0039,5,1,3,3,3,97.63,4,1,2022-11,2,5,5,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Don Aurelio Chicote,DON-0040,6,1,6,4,9,79.53,1,7,2015-07,1,1,5,0,0,1,0,0,2,1,0,3,0,0,1,1,0,0,0,2,0,0,0,0,0,0
Don Aurelio Chicote,DON-0041,1,1,6,2,2,149.44,2,3,2018-09,2,5,1,1,0,0,2,1,2,0,0,3,1,0,0,0,0,0,0,0,0,1,1,0,1,0
Don Aurelio Chicote,DON-0042,7,1,5,2,9,119.84,5,4,1991-10,2,2,3,1,0,0,2,2,2,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Don Aurelio Chicote,DON-0043,10,1,6,3,2,87.58,1,2,1999-08,1,1,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Don Aurelio Chicote,DON-0044,8,2,3,1,4,143.17,4,3,2018-10,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Don Aurelio Chicote,DON-0045,10,1,2,5,5,112.46,3,2,2011-10,1,1,4,1,0,1,1,2,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Aurelio Chicote,DON-0046,4,1,1,5,6,47.1,4,1,2024-07,2,9,1,1,0,0,2,1,2,1,1,0,2,0,0,0,0,0,0,1,0,0,2,0,1,0
Don Aurelio Chicote,DON-0047,4,1,2,2,6,144.42,3,3,1999-07,1,1,3,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
Don Aurelio Chicote,DON-0048,9,1,5,3,9,32.41,1,6,1990-09,1,1,5,1,0,1,1,0,0,0,0,3,2,0,1,0,0,0,0,2,1,1,1,0,0,0
Don Aurelio Chicote,DON-0049,7,1,1,1,9,68.72,2,3,2010-04,1,1,2,0,0,0,2,1,1,0,1,2,1,0,1,0,0,0,0,2,0,0,0,0,1,0
Don Aurelio Chicote,DON-0050,10,1,3,2,4,32.72,5,4,1982-11,1,1,9,0,1,1,2,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
Don Aurelio Chicote,DON-0051,1,1,5,3,1,118.8,5,4,2010-09,1,1,2,0,0,1,2,2,1,1,0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,0
Don Aurelio Chicote,DON-0052,10,1,2,4,6,115.93,2,4,1983-04,1,1,9,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0
Don Aurelio Chicote,DON-0053,3,1,1,5,9,107.25,1,3,1983-12,1,1,1,0,0,0,1,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Aurelio Chicote,DON-0054,10,1,3,5,2,118.02,2,3,1999-06,1,1,4,1,0,1,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Aurelio Chicote,DON-0055,8,1,4,4,3,71.0,1,7,2013-07,1,1,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Don Aurelio Chicote,DON-0056,4,1,3,1,2,115.2,4,7,1983-02,1,1,3,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don Aurelio Chicote,DON-0057,5,2,2,1,5,72.74,2,3,2012-02,1,1,1,0,0,0,2,0,1,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0
Don Aurelio Chicote,DON-0058,1,1,5,2,4,58.33,2,7,1983-02,2,5,3,1,0,0,2,0,2,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Don Aurelio Chicote,DON-0059,9,1,4,4,1,68.11,3,4,1985-02,1,1,5,1,0,0,2,0,2,1,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,2
Don Aurelio Chicote,DON-0060,10,1,1,4,2,61.33,4,6,1990-03,1,1,3,0,0,0,2,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0
