barangay,household_id,member_id,filipino_citizen,overseas_filipino,other_location_resided,province_moved,city_moved,barangay_moved,month_year_moved,province_from,city_from,barangay_from,internal_displacement
Anitap,ANI-0012,ANI-0012-3,2,7,1,607,396,763,05-2022,864,806,923,1
Anitap,ANI-0012,ANI-0012-4,1,3,2,,,,,,,,3
Anitap,ANI-0012,ANI-0012-5,2,2,1,787,548,750,04-2006,888,293,813,3
Anitap,ANI-0012,ANI-0012-6,3,3,2,,,,,,,,5
Anitap,ANI-0013,ANI-0013-1,3,6,2,,,,,,,,5
Anitap,ANI-0013,ANI-0013-2,3,7,2,,,,,,,,5
Anitap,ANI-0013,ANI-0013-3,1,3,2,,,,,,,,2
Anitap,ANI-0013,ANI-0013-4,3,6,1,467,358,162,05-2013,977,297,991,4
Anitap,ANI-0014,ANI-0014-1,1,,2,,,,,,,,5
Anitap,ANI-0014,ANI-0014-2,3,,1,153,669,986,07-2016,389,360,819,4
Anitap,ANI-0014,ANI-0014-3,1,4,2,,,,,,,,5
Anitap,ANI-0014,ANI-0014-4,1,,1,254,175,288,11-2021,764,474,334,5
Anitap,ANI-0015,ANI-0015-1,1,2,1,824,703,796,08-2012,748,222,648,5
Anitap,ANI-0016,ANI-0016-1,1,2,2,,,,,,,,2
Anitap,ANI-0017,ANI-0017-1,3,,1,294,787,639,05-2022,134,227,273,3
Anitap,ANI-0017,ANI-0017-2,3,3,2,,,,,,,,5
Anitap,ANI-0017,ANI-0017-3,2,5,1,220,251,857,12-2004,161,527,866,4
Anitap,ANI-0017,ANI-0017-4,2,3,2,,,,,,,,2
Anitap,ANI-0018,ANI-0018-1,2,4,1,666,863,482,10-2023,638,456,519,1
Anitap,ANI-0018,ANI-0018-2,2,4,1,195,203,285,12-2019,303,986,125,1
Anitap,ANI-0018,ANI-0018-3,2,,2,,,,,,,,3
Anitap,ANI-0018,ANI-0018-4,1,7,2,,,,,,,,3
Anitap,ANI-0018,ANI-0018-5,3,4,2,,,,,,,,1
Anitap,ANI-0019,ANI-0019-1,3,3,1,968,172,207,05-2005,537,699,980,5
Anitap,ANI-0019,ANI-0019-2,3,4,2,,,,,,,,2
Anitap,ANI-0019,ANI-0019-3,2,2,1,457,178,426,10-2017,640,632,780,4
Anitap,ANI-0019,ANI-0019-4,3,3,1,611,299,322,01-2018,317,319,325,5
Anitap,ANI-0019,ANI-0019-5,1,,2,,,,,,,,2
Anitap,ANI-0020,ANI-0020-1,1,,1,590,931,435,02-2006,947,549,560,3
Anitap,ANI-0020,ANI-0020-2,2,,2,,,,,,,,3
Anitap,ANI-0021,ANI-0021-1,1,4,1,293,927,747,05-2003,309,746,333,5
Anitap,ANI-0022,ANI-0022-1,1,,2,,,,,,,,2
Anitap,ANI-0022,ANI-0022-2,1,,2,,,,,,,,1
Anitap,ANI-0022,ANI-0022-3,3,,1,556,595,785,12-2007,207,227,339,4
Anitap,ANI-0023,ANI-0023-1,1,6,2,,,,,,,,4
Anitap,ANI-0023,ANI-0023-2,1,6,1,427,790,992,03-2006,613,106,263,4
Anitap,ANI-0023,ANI-0023-3,1,7,1,498,996,160,05-2009,917,191,305,2
Anitap,ANI-0023,ANI-0023-4,1,4,1,993,627,226,05-2014,889,561,177,3
Anitap,ANI-0024,ANI-0024-1,1,,2,,,,,,,,2
Anitap,ANI-0024,ANI-0024-2,1,6,1,984,470,767,01-2018,526,996,803,5
Anitap,ANI-0024,ANI-0024-3,3,4,2,,,,,,,,5
Anitap,ANI-0024,ANI-0024-4,3,1,1,645,366,215,06-2013,527,776,464,4
Anitap,ANI-0024,ANI-0024-5,3,4,2,,,,,,,,4
Anitap,ANI-0024,ANI-0024-6,1,,2,,,,,,,,1
Anitap,ANI-0025,ANI-0025-1,1,,2,,,,,,,,1
Anitap,ANI-0026,ANI-0026-1,3,6,2,,,,,,,,4
Anitap,ANI-0026,ANI-0026-2,2,,1,475,437,420,09-2000,786,400,191,3
Anitap,ANI-0026,ANI-0026-3,3,5,2,,,,,,,,5
Anitap,ANI-0026,ANI-0026-4,1,,2,,,,,,,,4
Anitap,ANI-0026,ANI-0026-5,2,4,1,715,931,610,09-2011,285,402,753,3
Anitap,ANI-0027,ANI-0027-1,1,7,2,,,,,,,,2
Anitap,ANI-0027,ANI-0027-2,3,7,1,558,633,324,12-2015,994,237,708,5
Anitap,ANI-0027,ANI-0027-3,1,,1,340,463,196,01-2014,399,163,269,1
Anitap,ANI-0028,ANI-0028-1,2,,2,,,,,,,,2
Anitap,ANI-0029,ANI-0029-1,3,1,1,366,503,569,01-2020,640,381,667,5
Anitap,ANI-0029,ANI-0029-2,2,,1,287,683,361,04-2011,653,890,835,3
Anitap,ANI-0029,ANI-0029-3,3,6,1,112,882,369,05-2001,777,883,245,4
Anitap,ANI-0029,ANI-0029-4,1,1,2,,,,,,,,1
Anitap,ANI-0029,ANI-0029-5,1,6,1,670,593,272,12-2014,302,172,749,4
Anitap,ANI-0030,ANI-0030-1,3,3,2,,,,,,,,5
Manuel Roxas,MAN-0001,MAN-0001-1,3,7,2,,,,,,,,1
Manuel Roxas,MAN-0002,MAN-0002-1,3,4,2,,,,,,,,1
Manuel Roxas,MAN-0002,MAN-0002-2,3,,1,360,799,973,09-2001,467,515,481,5
Manuel Roxas,MAN-0002,MAN-0002-3,3,1,1,999,909,869,06-2015,232,722,587,4
Manuel Roxas,MAN-0002,MAN-0002-4,1,5,2,,,,,,,,1
Manuel Roxas,MAN-0002,MAN-0002-5,2,1,2,,,,,,,,1
Manuel Roxas,MAN-0002,MAN-0002-6,2,7,1,908,555,551,12-2021,226,694,346,2
Manuel Roxas,MAN-0003,MAN-0003-1,3,6,2,,,,,,,,3
Manuel Roxas,MAN-0004,MAN-0004-1,2,3,2,,,,,,,,2
Manuel Roxas,MAN-0004,MAN-0004-2,2,2,2,,,,,,,,5
Manuel Roxas,MAN-0004,MAN-0004-3,1,,1,650,301,480,10-2001,547,188,958,4
Manuel Roxas,MAN-0004,MAN-0004-4,3,3,2,,,,,,,,3
Manuel Roxas,MAN-0004,MAN-0004-5,2,6,1,222,226,208,04-2001,345,364,504,4
Manuel Roxas,MAN-0004,MAN-0004-6,2,,2,,,,,,,,5
Manuel Roxas,MAN-0005,MAN-0005-1,1,2,1,903,319,711,09-2024,700,260,432,5
Manuel Roxas,MAN-0005,MAN-0005-2,2,5,2,,,,,,,,1
Manuel Roxas,MAN-0005,MAN-0005-3,1,6,1,465,792,751,03-2009,817,945,891,1
Manuel Roxas,MAN-0005,MAN-0005-4,1,7,1,479,607,517,05-2004,721,545,410,4
Manuel Roxas,MAN-0005,MAN-0005-5,3,,1,625,561,395,09-2014,400,784,962,1
Manuel Roxas,MAN-0005,MAN-0005-6,1,5,1,945,246,726,07-2023,446,475,495,1
Manuel Roxas,MAN-0006,MAN-0006-1,3,6,1,999,902,311,06-2021,115,452,191,1
Manuel Roxas,MAN-0006,MAN-0006-2,1,1,1,243,478,726,07-2001,309,135,658,5
Manuel Roxas,MAN-0006,MAN-0006-3,1,,1,602,736,213,04-2024,147,751,289,3
Manuel Roxas,MAN-0006,MAN-0006-4,2,6,1,470,412,491,10-2014,809,696,202,5
Manuel Roxas,MAN-0006,MAN-0006-5,3,1,1,887,558,533,04-2005,820,558,245,2
Manuel Roxas,MAN-0006,MAN-0006-6,3,4,1,349,625,312,01-2013,542,431,574,4
Manuel Roxas,MAN-0007,MAN-0007-1,3,3,2,,,,,,,,5
Manuel Roxas,MAN-0008,MAN-0008-1,1,7,2,,,,,,,,1
Manuel Roxas,MAN-0008,MAN-0008-2,2,6,1,371,969,985,12-2013,750,586,837,5
Manuel Roxas,MAN-0008,MAN-0008-3,3,7,1,689,560,159,06-2015,106,617,646,2
Manuel Roxas,MAN-0009,MAN-0009-1,2,3,1,603,459,120,02-2018,580,343,138,2
Manuel Roxas,MAN-0009,MAN-0009-2,2,1,2,,,,,,,,2
Manuel Roxas,MAN-0009,MAN-0009-3,2,3,2,,,,,,,,1
Manuel Roxas,MAN-0009,MAN-0009-4,2,4,1,779,726,306,10-2012,512,577,956,2
Manuel Roxas,MAN-0010,MAN-0010-1,2,7,1,284,746,472,11-2013,442,445,197,2
Manuel Roxas,MAN-0010,MAN-0010-2,2,,2,,,,,,,,2
Manuel Roxas,MAN-0010,MAN-0010-3,3,,2,,,,,,,,4
Manuel Roxas,MAN-0011,MAN-0011-1,3,5,2,,,,,,,,5
Manuel Roxas,MAN-0011,MAN-0011-2,1,,2,,,,,,,,1
Manuel Roxas,MAN-0011,MAN-0011-3,1,1,2,,,,,,,,1
Manuel Roxas,MAN-0011,MAN-0011-4,2,,2,,,,,,,,1
Manuel Roxas,MAN-0011,MAN-0011-5,1,,2,,,,,,,,2
Manuel Roxas,MAN-0012,MAN-0012-1,1,,1,528,201,474,06-2020,282,510,216,1
Manuel Roxas,MAN-0012,MAN-0012-2,1,,1,619,379,865,10-2019,418,244,962,4
Manuel Roxas,MAN-0012,MAN-0012-3,1,,2,,,,,,,,1
Manuel Roxas,MAN-0012,MAN-0012-4,3,5,1,167,341,605,01-2015,560,919,593,1
Manuel Roxas,MAN-0012,MAN-0012-5,1,3,1,800,499,722,05-2002,349,344,477,5
Manuel Roxas,MAN-0013,MAN-0013-1,1,6,2,,,,,,,,4
Manuel Roxas,MAN-0013,MAN-0013-2,2,1,1,795,502,824,06-2009,339,988,493,4
Manuel Roxas,MAN-0014,MAN-0014-1,2,2,1,611,126,621,10-2023,898,520,995,4
Manuel Roxas,MAN-0014,MAN-0014-2,1,6,1,587,361,632,01-2019,486,223,802,1
Manuel Roxas,MAN-0015,MAN-0015-1,1,,1,596,437,331,07-2010,224,627,866,1
Manuel Roxas,MAN-0015,MAN-0015-2,3,6,2,,,,,,,,2
Manuel Roxas,MAN-0016,MAN-0016-1,3,,2,,,,,,,,1
Manuel Roxas,MAN-0016,MAN-0016-2,3,5,2,,,,,,,,5
Manuel Roxas,MAN-0016,MAN-0016-3,2,7,2,,,,,,,,5
Manuel Roxas,MAN-0016,MAN-0016-4,1,,2,,,,,,,,3
Manuel Roxas,MAN-0016,MAN-0016-5,1,5,2,,,,,,,,3
Manuel Roxas,MAN-0016,MAN-0016-6,3,5,2,,,,,,,,2
Manuel Roxas,MAN-0017,MAN-0017-1,3,1,2,,,,,,,,3
Manuel Roxas,MAN-0018,MAN-0018-1,3,,1,172,139,360,09-2023,971,456,328,5
Manuel Roxas,MAN-0019,MAN-0019-1,3,,2,,,,,,,,2
Manuel Roxas,MAN-0019,MAN-0019-2,3,5,1,389,611,805,02-2003,574,939,675,1
Manuel Roxas,MAN-0020,MAN-0020-1,1,7,1,527,991,995,12-2012,164,654,470,1
Manuel Roxas,MAN-0020,MAN-0020-2,3,,2,,,,,,,,1
Manuel Roxas,MAN-0021,MAN-0021-1,1,2,1,141,668,233,09-2021,224,616,179,3
Manuel Roxas,MAN-0021,MAN-0021-2,3,5,1,555,570,987,01-2003,624,977,910,1
Manuel Roxas,MAN-0021,MAN-0021-3,1,4,1,852,345,492,05-2006,386,428,174,1
Manuel Roxas,MAN-0021,MAN-0021-4,2,5,1,632,383,222,01-2019,882,399,366,3
Manuel Roxas,MAN-0021,MAN-0021-5,3,,2,,,,,,,,3
Manuel Roxas,MAN-0022,MAN-0022-1,3,3,1,286,310,835,04-2020,256,781,352,1
Manuel Roxas,MAN-0022,MAN-0022-2,1,7,1,948,171,557,05-2016,272,212,265,3
Manuel Roxas,MAN-0022,MAN-0022-3,2,,2,,,,,,,,2
Manuel Roxas,MAN-0022,MAN-0022-4,3,5,2,,,,,,,,1
Manuel Roxas,MAN-0023,MAN-0023-1,2,2,1,614,661,350,12-2018,445,630,513,3
Manuel Roxas,MAN-0023,MAN-0023-2,3,,1,564,175,240,07-2000,458,505,165,4
Manuel Roxas,MAN-0023,MAN-0023-3,1,,2,,,,,,,,2
Manuel Roxas,MAN-0023,MAN-0023-4,3,4,1,276,771,744,10-2013,931,507,156,1
Manuel Roxas,MAN-0023,MAN-0023-5,3,,2,,,,,,,,4
Manuel Roxas,MAN-0023,MAN-0023-6,1,6,2,,,,,,,,1
Manuel Roxas,MAN-0024,MAN-0024-1,3,1,1,400,947,662,12-2001,342,765,669,2
Manuel Roxas,MAN-0024,MAN-0024-2,2,4,1,303,519,680,03-2022,948,634,241,1
Manuel Roxas,MAN-0024,MAN-0024-3,2,,1,400,290,436,04-2013,487,638,778,5
Manuel Roxas,MAN-0024,MAN-0024-4,3,2,1,649,366,410,02-2014,170,911,549,5
Manuel Roxas,MAN-0024,MAN-0024-5,3,4,2,,,,,,,,2
Manuel Roxas,MAN-0024,MAN-0024-6,3,2,2,,,,,,,,1
Manuel Roxas,MAN-0025,MAN-0025-1,3,7,1,119,652,559,05-2008,548,711,294,3
Manuel Roxas,MAN-0026,MAN-0026-1,1,3,2,,,,,,,,5
Manuel Roxas,MAN-0026,MAN-0026-2,1,5,2,,,,,,,,3
Manuel Roxas,MAN-0026,MAN-0026-3,2,5,1,313,391,266,10-2014,641,348,218,4
Manuel Roxas,MAN-0026,MAN-0026-4,2,,2,,,,,,,,4
Manuel Roxas,MAN-0026,MAN-0026-5,3,,1,503,567,169,11-2023,901,263,879,5
Manuel Roxas,MAN-0026,MAN-0026-6,1,1,1,251,138,414,09-2018,642,303,841,4
Manuel Roxas,MAN-0027,MAN-0027-1,2,,1,715,348,666,05-2009,460,671,818,3
Manuel Roxas,MAN-0027,MAN-0027-2,3,6,2,,,,,,,,5
Manuel Roxas,MAN-0028,MAN-0028-1,3,7,2,,,,,,,,4
Manuel Roxas,MAN-0029,MAN-0029-1,2,4,1,665,755,281,01-2000,374,837,130,4
Manuel Roxas,MAN-0029,MAN-0029-2,3,2,1,345,649,749,08-2013,274,834,113,2
Manuel Roxas,MAN-0030,MAN-0030-1,2,6,1,326,655,803,02-2016,838,279,848,1
Manuel Roxas,MAN-0030,MAN-0030-2,1,,1,511,697,233,06-2024,578,155,196,4
Manuel Roxas,MAN-0030,MAN-0030-3,1,3,1,965,418,430,03-2010,510,125,366,1
Manuel Roxas,MAN-0030,MAN-0030-4,2,5,2,,,,,,,,4
Manuel Roxas,MAN-0030,MAN-0030-5,3,,1,488,423,558,10-2016,118,454,449,1
Manuel Roxas,MAN-0030,MAN-0030-6,1,6,1,725,547,728,04-2006,277,951,764,4
Manuel Roxas,MAN-0031,MAN-0031-1,2,2,1,178,279,658,12-2009,276,464,919,4
Manuel Roxas,MAN-0031,MAN-0031-2,3,,1,561,194,423,08-2020,709,719,358,2
Manuel Roxas,MAN-0031,MAN-0031-3,1,,1,495,478,493,06-2004,196,727,305,1
Manuel Roxas,MAN-0031,MAN-0031-4,2,5,2,,,,,,,,2
Manuel Roxas,MAN-0031,MAN-0031-5,2,,1,189,273,134,12-2019,226,910,335,1
Manuel Roxas,MAN-0032,MAN-0032-1,1,,1,880,618,674,03-2017,937,140,652,4
Manuel Roxas,MAN-0032,MAN-0032-2,1,7,2,,,,,,,,4
Manuel Roxas,MAN-0033,MAN-0033-1,2,,1,772,806,168,11-2000,236,481,765,2
Manuel Roxas,MAN-0033,MAN-0033-2,3,7,2,,,,,,,,3
Manuel Roxas,MAN-0033,MAN-0033-3,2,,1,417,791,800,10-2019,404,316,286,4
Manuel Roxas,MAN-0033,MAN-0033-4,1,7,1,581,452,303,12-2024,212,559,312,3
Manuel Roxas,MAN-0033,MAN-0033-5,3,,1,678,648,163,08-2010,716,517,890,1
Manuel Roxas,MAN-0034,MAN-0034-1,3,,1,407,273,846,07-2017,860,265,359,5
Manuel Roxas,MAN-0034,MAN-0034-2,2,,2,,,,,,,,5
Manuel Roxas,MAN-0034,MAN-0034-3,2,4,2,,,,,,,,5
Manuel Roxas,MAN-0034,MAN-0034-4,2,1,2,,,,,,,,5
Manuel Roxas,MAN-0034,MAN-0034-5,2,4,1,897,646,454,01-2007,517,466,384,4
Manuel Roxas,MAN-0034,MAN-0034-6,2,2,1,712,469,400,08-2013,521,612,820,2
Manuel Roxas,MAN-0035,MAN-0035-1,1,2,2,,,,,,,,2
Manuel Roxas,MAN-0035,MAN-0035-2,1,,2,,,,,,,,2
Manuel Roxas,MAN-0035,MAN-0035-3,3,5,2,,,,,,,,2
Manuel Roxas,MAN-0035,MAN-0035-4,2,2,2,,,,,,,,2
Manuel Roxas,MAN-0036,MAN-0036-1,3,1,2,,,,,,,,2
Manuel Roxas,MAN-0036,MAN-0036-2,3,,1,708,592,221,07-2012,287,830,126,5
Manuel Roxas,MAN-0036,MAN-0036-3,3,,2,,,,,,,,3
Manuel Roxas,MAN-0037,MAN-0037-1,1,5,2,,,,,,,,2
Manuel Roxas,MAN-0037,MAN-0037-2,2,,1,487,844,573,09-2004,429,931,698,2
Manuel Roxas,MAN-0037,MAN-0037-3,1,6,1,367,228,263,02-2021,844,611,795,3
Manuel Roxas,MAN-0038,MAN-0038-1,3,6,2,,,,,,,,4
Manuel Roxas,MAN-0039,MAN-0039-1,1,,1,348,182,694,07-2022,415,884,905,4
Manuel Roxas,MAN-0039,MAN-0039-2,2,,1,243,591,925,01-2009,800,977,667,4
Manuel Roxas,MAN-0039,MAN-0039-3,2,5,1,159,271,634,12-2011,943,596,882,4
Manuel Roxas,MAN-0039,MAN-0039-4,1,,1,148,364,686,09-2020,537,135,647,4
Manuel Roxas,MAN-0040,MAN-0040-1,2,4,1,760,901,308,02-2002,129,224,295,4
Manuel Roxas,MAN-0040,MAN-0040-2,3,7,1,516,541,706,12-2000,874,453,424,2
Manuel Roxas,MAN-0040,MAN-0040-3,2,5,1,784,567,760,06-2013,202,348,872,2
Manuel Roxas,MAN-0040,MAN-0040-4,1,1,2,,,,,,,,4
Manuel Roxas,MAN-0040,MAN-0040-5,3,7,1,413,609,692,03-2012,174,659,745,2
Manuel Roxas,MAN-0041,MAN-0041-1,3,6,2,,,,,,,,3
Manuel Roxas,MAN-0041,MAN-0041-2,2,,1,134,703,315,09-2007,979,369,756,2
Manuel Roxas,MAN-0041,MAN-0041-3,1,6,1,464,202,630,02-2010,679,830,624,2
Manuel Roxas,MAN-0041,MAN-0041-4,2,,2,,,,,,,,3
Manuel Roxas,MAN-0041,MAN-0041-5,2,,2,,,,,,,,2
Manuel Roxas,MAN-0041,MAN-0041-6,3,3,2,,,,,,,,4
Manuel Roxas,MAN-0042,MAN-0042-1,2,1,1,639,362,133,06-2001,279,485,828,2
Manuel Roxas,MAN-0042,MAN-0042-2,1,7,2,,,,,,,,4
Manuel Roxas,MAN-0042,MAN-0042-3,2,1,1,796,440,197,12-2001,177,934,753,2
Manuel Roxas,MAN-0042,MAN-0042-4,1,,1,890,723,883,03-2010,330,952,471,1
Manuel Roxas,MAN-0042,MAN-0042-5,1,,1,471,215,984,07-2007,593,274,814,2
Manuel Roxas,MAN-0042,MAN-0042-6,1,,1,406,711,512,09-2018,233,597,104,2
Manuel Roxas,MAN-0043,MAN-0043-1,1,,1,678,643,768,08-2005,989,918,309,3
Manuel Roxas,MAN-0043,MAN-0043-2,1,,1,479,967,410,02-2013,612,387,138,3
Manuel Roxas,MAN-0044,MAN-0044-1,2,5,1,733,907,865,06-2009,519,365,786,2
Manuel Roxas,MAN-0044,MAN-0044-2,3,2,2,,,,,,,,3
Manuel Roxas,MAN-0044,MAN-0044-3,1,,1,850,252,725,03-2002,355,329,696,2
Manuel Roxas,MAN-0044,MAN-0044-4,1,5,1,943,532,421,02-2010,986,384,499,2
Manuel Roxas,MAN-0044,MAN-0044-5,2,2,2,,,,,,,,1
Manuel Roxas,MAN-0045,MAN-0045-1,1,,2,,,,,,,,1
Manuel Roxas,MAN-0045,MAN-0045-2,3,,1,609,167,672,04-2002,985,314,927,2
Manuel Roxas,MAN-0046,MAN-0046-1,2,4,1,914,976,735,12-2015,250,798,325,4
Manuel Roxas,MAN-0046,MAN-0046-2,3,3,2,,,,,,,,4
Manuel Roxas,MAN-0046,MAN-0046-3,3,3,2,,,,,,,,4
Manuel Roxas,MAN-0046,MAN-0046-4,3,7,2,,,,,,,,3
Manuel Roxas,MAN-0046,MAN-0046-5,2,,1,766,244,205,11-2023,603,414,232,4
Manuel Roxas,MAN-0047,MAN-0047-1,1,,1,170,862,955,05-2005,995,454,756,1
Manuel Roxas,MAN-0047,MAN-0047-2,1,,2,,,,,,,,4
Manuel Roxas,MAN-0047,MAN-0047-3,2,3,2,,,,,,,,1
Manuel Roxas,MAN-0048,MAN-0048-1,3,7,2,,,,,,,,1
Manuel Roxas,MAN-0048,MAN-0048-2,2,2,2,,,,,,,,2
Manuel Roxas,MAN-0048,MAN-0048-3,3,3,1,568,772,858,03-2011,545,686,993,4
Manuel Roxas,MAN-0048,MAN-0048-4,2,,2,,,,,,,,4
Manuel Roxas,MAN-0048,MAN-0048-5,3,,1,797,283,416,11-2013,846,419,331,2
Manuel Roxas,MAN-0049,MAN-0049-1,2,,1,904,384,901,08-2012,381,714,464,5
Manuel Roxas,MAN-0049,MAN-0049-2,3,2,2,,,,,,,,4
Manuel Roxas,MAN-0049,MAN-0049-3,1,,2,,,,,,,,5
Manuel Roxas,MAN-0049,MAN-0049-4,2,6,1,961,212,270,12-2008,108,615,952,5
Manuel Roxas,MAN-0049,MAN-0049-5,2,6,1,380,370,625,09-2001,758,177,371,5
Manuel Roxas,MAN-0049,MAN-0049-6,3,4,1,312,270,611,03-2011,177,204,430,1
Manuel Roxas,MAN-0050,MAN-0050-1,3,,1,333,888,571,12-2019,601,852,702,1
Manuel Roxas,MAN-0050,MAN-0050-2,2,6,1,388,489,592,05-2021,204,296,328,2
Manuel Roxas,MAN-0050,MAN-0050-3,3,7,1,204,931,325,03-2008,408,797,937,2
Manuel Roxas,MAN-0050,MAN-0050-4,3,3,2,,,,,,,,3
Manuel Roxas,MAN-0050,MAN-0050-5,3,1,1,860,202,785,05-2005,573,990,557,4
Manuel Roxas,MAN-0050,MAN-0050-6,2,1,1,212,935,286,11-2023,533,259,437,5
Manuel Roxas,MAN-0051,MAN-0051-1,3,,1,957,457,311,02-2019,782,225,597,4
Manuel Roxas,MAN-0051,MAN-0051-2,1,,2,,,,,,,,5
Manuel Roxas,MAN-0051,MAN-0051-3,2,2,2,,,,,,,,4
Manuel Roxas,MAN-0051,MAN-0051-4,2,2,2,,,,,,,,3
Manuel Roxas,MAN-0051,MAN-0051-5,3,1,1,738,230,783,07-2023,552,481,911,3
Manuel Roxas,MAN-0051,MAN-0051-6,3,,1,682,489,967,03-2014,450,221,801,1
Manuel Roxas,MAN-0052,MAN-0052-1,2,7,1,700,935,149,05-2007,597,778,224,3
Manuel Roxas,MAN-0052,MAN-0052-2,1,5,1,249,379,560,04-2019,594,539,204,4
Manuel Roxas,MAN-0053,MAN-0053-1,2,,2,,,,,,,,1
Manuel Roxas,MAN-0053,MAN-0053-2,1,,1,910,545,491,01-2008,410,564,918,4
Manuel Roxas,MAN-0053,MAN-0053-3,3,3,1,904,515,263,10-2011,785,272,368,4
Manuel Roxas,MAN-0054,MAN-0054-1,3,6,1,970,579,530,04-2018,220,585,790,5
Manuel Roxas,MAN-0054,MAN-0054-2,1,,2,,,,,,,,3
Manuel Roxas,MAN-0054,MAN-0054-3,1,1,1,970,883,939,12-2022,234,405,471,1
Manuel Roxas,MAN-0054,MAN-0054-4,2,2,2,,,,,,,,2
Manuel Roxas,MAN-0055,MAN-0055-1,3,6,2,,,,,,,,5
Manuel Roxas,MAN-0055,MAN-0055-2,1,,1,393,293,822,09-2012,679,317,832,3
Manuel Roxas,MAN-0055,MAN-0055-3,1,5,2,,,,,,,,1
Manuel Roxas,MAN-0055,MAN-0055-4,3,,1,942,201,480,06-2002,606,846,499,4
Manuel Roxas,MAN-0055,MAN-0055-5,3,4,2,,,,,,,,3
Manuel Roxas,MAN-0056,MAN-0056-1,2,6,1,971,206,705,07-2015,452,344,580,1
Manuel Roxas,MAN-0056,MAN-0056-2,1,3,1,506,819,783,01-2012,350,751,349,1
Manuel Roxas,MAN-0056,MAN-0056-3,3,7,1,535,790,774,01-2003,126,114,103,3
