barangay,household_id,member_id,attended_school,school_attending,current_grade_year,reason_not_attending,tvet_graduate,tvet_student,skills_training
Anitap,ANI-0013,ANI-0013-1,2,2,11000201,05,2,1,
Anitap,ANI-0013,ANI-0013-2,2,3,30400201,05,,,
Anitap,ANI-0013,ANI-0013-3,1,3,21400102,,2,1,
Anitap,ANI-0014,ANI-0014-1,2,3,50000001,05,2,1,
Anitap,ANI-0014,ANI-0014-2,2,3,10000104,03,1,2,
Anitap,ANI-0014,ANI-0014-3,2,1,70000010,05,,,
Anitap,ANI-0015,ANI-0015-1,2,2,30400110,10,2,1,
Anitap,ANI-0016,ANI-0016-1,1,1,10000102,,1,2,
Anitap,ANI-0017,ANI-0017-1,1,3,50000003,,,,
Anitap,ANI-0017,ANI-0017-2,2,1,10000101,04,1,1,
Anitap,ANI-0018,ANI-0018-1,1,1,11000301,,1,1,
Anitap,ANI-0019,ANI-0019-1,,,,,,,
Anitap,ANI-0020,ANI-0020-1,1,1,40000002,,1,2,
Anitap,ANI-0021,ANI-0021-1,2,2,30500011,13,2,2,Baking
Anitap,ANI-0021,ANI-0021-2,2,2,21400105,01,1,1,
Anitap,ANI-0021,ANI-0021-3,2,1,30400208,09,1,1,
Anitap,ANI-0021,ANI-0021-4,1,1,10000105,,1,1,
Anitap,ANI-0021,ANI-0021-5,1,3,10000105,,,,
Anitap,ANI-0021,ANI-0021-6,1,3,11000203,,1,2,
Anitap,ANI-0022,ANI-0022-1,2,1,60000002,09,1,2,
Anitap,ANI-0022,ANI-0022-2,2,2,20400103,18,,,
Anitap,ANI-0023,ANI-0023-1,1,2,30400107,,,,
Anitap,ANI-0024,ANI-0024-1,2,2,30400201,09,,,
Anitap,ANI-0024,ANI-0024-2,2,2,20400105,01,,,
Anitap,ANI-0025,ANI-0025-1,2,2,30400203,10,1,1,
Anitap,ANI-0025,ANI-0025-2,1,2,20400105,,1,2,
Anitap,ANI-0026,ANI-0026-1,2,3,10000101,10,1,2,
Anitap,ANI-0026,ANI-0026-2,2,3,30400201,14,2,2,Aquaculture
Anitap,ANI-0026,ANI-0026-3,1,2,30400109,,1,2,
Anitap,ANI-0026,ANI-0026-4,1,1,11000103,,1,1,
Anitap,ANI-0026,ANI-0026-5,1,3,60000005,,,,
Anitap,ANI-0026,ANI-0026-6,2,2,30500006,17,1,1,
Anitap,ANI-0027,ANI-0027-1,,,,,,,
Anitap,ANI-0028,ANI-0028-1,,,,,,,
Anitap,ANI-0028,ANI-0028-2,2,1,60000002,15,2,2,
Anitap,ANI-0029,ANI-0029-1,2,1,40000002,10,2,1,
Anitap,ANI-0030,ANI-0030-1,2,3,30500008,18,1,2,
Anitap,ANI-0030,ANI-0030-2,,,,,,,
Anitap,ANI-0030,ANI-0030-3,2,2,50000002,03,2,2,
Anitap,ANI-0030,ANI-0030-4,1,1,30400110,,1,1,Mining Safety
Anitap,ANI-0030,ANI-0030-5,2,2,70000010,13,,,
Manuel Roxas,MAN-0001,MAN-0001-1,2,3,30400205,12,1,2,
Manuel Roxas,MAN-0001,MAN-0001-2,2,2,21400101,11,2,1,
Manuel Roxas,MAN-0002,MAN-0002-1,1,1,30400201,,,,
Manuel Roxas,MAN-0002,MAN-0002-2,1,1,60000003,,,,
Manuel Roxas,MAN-0002,MAN-0002-3,2,2,11000108,09,1,1,
Manuel Roxas,MAN-0002,MAN-0002-4,2,2,30400107,99,2,2,
Manuel Roxas,MAN-0003,MAN-0003-1,2,1,21400301,05,1,2,Coconut Processing
Manuel Roxas,MAN-0003,MAN-0003-2,2,1,11000103,13,2,2,
Manuel Roxas,MAN-0004,MAN-0004-1,1,1,11000203,,2,2,Electronics Repair
Manuel Roxas,MAN-0004,MAN-0004-2,2,1,10000105,13,2,1,
Manuel Roxas,MAN-0004,MAN-0004-3,2,2,30400108,10,2,2,Electrical Installation
Manuel Roxas,MAN-0005,MAN-0005-1,1,3,50000002,,,,
Manuel Roxas,MAN-0005,MAN-0005-2,2,3,60000005,99,2,2,
Manuel Roxas,MAN-0006,MAN-0006-1,2,1,11000108,14,2,2,
Manuel Roxas,MAN-0006,MAN-0006-2,1,1,30400111,,,,
Manuel Roxas,MAN-0006,MAN-0006-3,1,2,30400204,,2,1,
Manuel Roxas,MAN-0007,MAN-0007-1,,,,,,,
Manuel Roxas,MAN-0007,MAN-0007-2,,,,,,,
Manuel Roxas,MAN-0007,MAN-0007-3,1,1,10000101,,1,2,Heavy Equipment Operation
Manuel Roxas,MAN-0007,MAN-0007-4,2,3,30400206,07,2,1,
Manuel Roxas,MAN-0008,MAN-0008-1,2,1,60000002,06,2,1,
Manuel Roxas,MAN-0008,MAN-0008-2,2,3,21400101,02,2,1,
Manuel Roxas,MAN-0008,MAN-0008-3,2,3,30500011,06,2,1,
Manuel Roxas,MAN-0009,MAN-0009-1,1,3,40000002,,1,2,
Manuel Roxas,MAN-0009,MAN-0009-2,,,,,,,
Manuel Roxas,MAN-0010,MAN-0010-1,1,3,21400302,,2,2,
Manuel Roxas,MAN-0010,MAN-0010-2,1,3,30400204,,2,1,
Manuel Roxas,MAN-0010,MAN-0010-3,2,2,30500007,02,1,2,
Manuel Roxas,MAN-0010,MAN-0010-4,2,2,11000105,15,2,1,
Manuel Roxas,MAN-0011,MAN-0011-1,2,2,30500006,02,1,1,Housekeeping
Manuel Roxas,MAN-0012,MAN-0012-1,1,3,11000302,,2,2,
Manuel Roxas,MAN-0012,MAN-0012-2,1,3,02100000,,2,1,
Manuel Roxas,MAN-0012,MAN-0012-3,2,2,11000101,09,2,1,
Manuel Roxas,MAN-0012,MAN-0012-4,2,3,11000104,99,,,
Manuel Roxas,MAN-0013,MAN-0013-1,1,2,30400204,,1,1,
Manuel Roxas,MAN-0014,MAN-0014-1,2,3,30400303,13,,,
Manuel Roxas,MAN-0014,MAN-0014-2,2,2,10000107,10,,,
Manuel Roxas,MAN-0014,MAN-0014-3,1,2,30400110,,,,
Manuel Roxas,MAN-0015,MAN-0015-1,2,1,11000103,02,1,2,
Manuel Roxas,MAN-0015,MAN-0015-2,2,2,60000004,11,,,
Manuel Roxas,MAN-0015,MAN-0015-3,1,3,11000202,,1,2,
Manuel Roxas,MAN-0015,MAN-0015-4,1,3,11000203,,,,
Manuel Roxas,MAN-0015,MAN-0015-5,1,3,30400110,,2,1,Electrical Installation
Manuel Roxas,MAN-0015,MAN-0015-6,1,3,70000010,,1,2,
Manuel Roxas,MAN-0016,MAN-0016-1,2,3,40000003,14,1,1,
Manuel Roxas,MAN-0016,MAN-0016-2,2,1,50000003,09,1,1,
Manuel Roxas,MAN-0016,MAN-0016-3,2,2,30400303,02,2,1,
Manuel Roxas,MAN-0016,MAN-0016-4,2,2,11000103,11,2,2,
Manuel Roxas,MAN-0017,MAN-0017-1,1,2,30400203,,1,1,
Manuel Roxas,MAN-0017,MAN-0017-2,2,1,10000101,09,1,1,
Manuel Roxas,MAN-0017,MAN-0017-3,1,3,11000201,,2,2,Electrical Installation
Manuel Roxas,MAN-0017,MAN-0017-4,1,3,30500009,,1,1,
Manuel Roxas,MAN-0018,MAN-0018-1,2,3,70000010,12,1,1,Rice Farming
Manuel Roxas,MAN-0019,MAN-0019-1,1,2,30400201,,2,1,
Manuel Roxas,MAN-0019,MAN-0019-2,2,1,10000104,11,,,
Manuel Roxas,MAN-0019,MAN-0019-3,2,2,30400203,05,2,1,
Manuel Roxas,MAN-0019,MAN-0019-4,1,2,21400101,,1,1,Baking
Manuel Roxas,MAN-0019,MAN-0019-5,2,2,30400203,03,1,2,
Manuel Roxas,MAN-0019,MAN-0019-6,2,2,50000001,03,,,
Manuel Roxas,MAN-0020,MAN-0020-1,2,2,21400103,02,1,1,
Manuel Roxas,MAN-0020,MAN-0020-2,2,2,11000101,05,2,1,
Manuel Roxas,MAN-0021,MAN-0021-1,2,2,11000202,06,2,1,
Manuel Roxas,MAN-0021,MAN-0021-2,1,1,01000000,,1,2,
Manuel Roxas,MAN-0021,MAN-0021-3,1,1,21400101,,,,
Manuel Roxas,MAN-0021,MAN-0021-4,1,1,11000103,,1,2,
Manuel Roxas,MAN-0021,MAN-0021-5,1,2,20400103,,,,
Manuel Roxas,MAN-0022,MAN-0022-1,1,3,40000001,,2,1,Agricultural Training
Manuel Roxas,MAN-0022,MAN-0022-2,2,3,30400106,13,2,1,
Manuel Roxas,MAN-0023,MAN-0023-1,2,2,40000002,99,,,
Manuel Roxas,MAN-0023,MAN-0023-2,2,1,10000107,01,2,2,Electrical Installation
Manuel Roxas,MAN-0023,MAN-0023-3,2,3,30400108,12,,,
Manuel Roxas,MAN-0023,MAN-0023-4,2,3,02000000,17,,,
Manuel Roxas,MAN-0023,MAN-0023-5,,,,,,,
Manuel Roxas,MAN-0024,MAN-0024-1,2,3,30500007,99,2,1,
Manuel Roxas,MAN-0024,MAN-0024-2,2,3,30400206,09,,,
Manuel Roxas,MAN-0024,MAN-0024-3,2,1,30400206,07,2,2,
Manuel Roxas,MAN-0024,MAN-0024-4,2,2,30500011,06,2,1,
Manuel Roxas,MAN-0025,MAN-0025-1,1,3,11000108,,2,1,
Manuel Roxas,MAN-0025,MAN-0025-2,2,3,30500011,01,1,1,
Manuel Roxas,MAN-0026,MAN-0026-1,2,2,30400207,12,2,2,Electrical Installation
Manuel Roxas,MAN-0026,MAN-0026-2,2,3,60000003,14,,,
Manuel Roxas,MAN-0027,MAN-0027-1,2,3,60000002,07,,,
Manuel Roxas,MAN-0027,MAN-0027-2,1,2,21400301,,,,
Manuel Roxas,MAN-0027,MAN-0027-3,1,1,21400301,,1,1,
Manuel Roxas,MAN-0028,MAN-0028-1,2,1,11000102,13,2,1,
Manuel Roxas,MAN-0028,MAN-0028-2,1,3,30500009,,1,2,Electrical Installation
Manuel Roxas,MAN-0028,MAN-0028-3,1,3,30500007,,2,1,
Manuel Roxas,MAN-0028,MAN-0028-4,1,2,30500008,,,,
Manuel Roxas,MAN-0028,MAN-0028-5,2,1,21400302,99,1,1,
Manuel Roxas,MAN-0028,MAN-0028-6,1,1,30400208,,,,
Manuel Roxas,MAN-0029,MAN-0029-1,2,2,30400110,18,2,1,
Manuel Roxas,MAN-0029,MAN-0029-2,2,1,30400208,08,1,2,
Manuel Roxas,MAN-0029,MAN-0029-3,1,2,30400204,,,,
Manuel Roxas,MAN-0029,MAN-0029-4,,,,,,,
Manuel Roxas,MAN-0029,MAN-0029-5,2,2,10000101,11,2,2,
Manuel Roxas,MAN-0029,MAN-0029-6,2,2,30400301,01,,,
Manuel Roxas,MAN-0030,MAN-0030-1,2,1,70000010,04,2,1,
Manuel Roxas,MAN-0030,MAN-0030-2,2,2,11000203,14,,,
Manuel Roxas,MAN-0030,MAN-0030-3,1,3,11000105,,,,
Manuel Roxas,MAN-0031,MAN-0031-1,,,,,,,
Manuel Roxas,MAN-0031,MAN-0031-2,1,3,30400203,,1,1,
Manuel Roxas,MAN-0031,MAN-0031-3,,,,,,,
Manuel Roxas,MAN-0031,MAN-0031-4,2,3,21400201,08,,,
Manuel Roxas,MAN-0032,MAN-0032-1,1,3,02100000,,1,2,
Manuel Roxas,MAN-0032,MAN-0032-2,,,,,,,
Manuel Roxas,MAN-0032,MAN-0032-3,2,3,02000000,16,2,2,
Manuel Roxas,MAN-0032,MAN-0032-4,1,2,30400301,,,,
Manuel Roxas,MAN-0032,MAN-0032-5,2,3,21400202,18,1,2,
Manuel Roxas,MAN-0033,MAN-0033-1,1,3,30500010,,1,1,
Manuel Roxas,MAN-0033,MAN-0033-2,2,1,30500007,09,1,1,
Manuel Roxas,MAN-0033,MAN-0033-3,1,1,10000108,,2,1,
Manuel Roxas,MAN-0034,MAN-0034-1,2,3,30400109,14,,,
Manuel Roxas,MAN-0034,MAN-0034-2,1,1,01000000,,,,
Manuel Roxas,MAN-0034,MAN-0034-3,1,3,10000108,,2,2,
Manuel Roxas,MAN-0034,MAN-0034-4,1,1,21400103,,1,2,
Manuel Roxas,MAN-0035,MAN-0035-1,1,3,50000003,,1,2,
Manuel Roxas,MAN-0036,MAN-0036-1,1,3,30400110,,,,
Manuel Roxas,MAN-0036,MAN-0036-2,2,2,11000302,03,1,2,
Manuel Roxas,MAN-0036,MAN-0036-3,,,,,,,
Manuel Roxas,MAN-0037,MAN-0037-1,2,1,60000005,12,2,1,
Manuel Roxas,MAN-0037,MAN-0037-2,,,,,,,
Manuel Roxas,MAN-0038,MAN-0038-1,2,2,30500007,99,1,1,
Manuel Roxas,MAN-0038,MAN-0038-2,1,2,30400108,,,,
Manuel Roxas,MAN-0038,MAN-0038-3,2,1,50000001,06,1,2,
Manuel Roxas,MAN-0038,MAN-0038-4,1,2,30400106,,1,1,
Manuel Roxas,MAN-0038,MAN-0038-5,1,2,10000107,,2,2,
Manuel Roxas,MAN-0038,MAN-0038-6,2,3,21400302,10,2,1,
Manuel Roxas,MAN-0039,MAN-0039-1,2,2,40000001,10,2,1,
Manuel Roxas,MAN-0039,MAN-0039-2,2,1,30500008,99,,,
Manuel Roxas,MAN-0039,MAN-0039-3,1,3,10000102,,1,1,Rice Farming
Manuel Roxas,MAN-0039,MAN-0039-4,2,1,30500010,17,2,2,
Manuel Roxas,MAN-0039,MAN-0039-5,1,2,30500007,,,,
Manuel Roxas,MAN-0040,MAN-0040-1,1,2,30400206,,1,2,
Manuel Roxas,MAN-0041,MAN-0041-1,1,2,11000101,,1,2,
Manuel Roxas,MAN-0041,MAN-0041-2,1,2,11000201,,2,1,
Manuel Roxas,MAN-0042,MAN-0042-1,2,3,01000000,09,1,1,
Manuel Roxas,MAN-0042,MAN-0042-2,2,2,21400103,06,1,2,
Manuel Roxas,MAN-0042,MAN-0042-3,1,2,10000102,,2,2,
Manuel Roxas,MAN-0043,MAN-0043-1,2,2,11000102,02,,,
Manuel Roxas,MAN-0043,MAN-0043-2,2,3,10000102,17,1,1,
Manuel Roxas,MAN-0043,MAN-0043-3,,,,,,,
Manuel Roxas,MAN-0043,MAN-0043-4,1,3,40000001,,1,1,
Manuel Roxas,MAN-0044,MAN-0044-1,1,3,30400203,,1,1,
Manuel Roxas,MAN-0044,MAN-0044-2,2,1,10000102,02,1,2,
Manuel Roxas,MAN-0044,MAN-0044-3,,,,,,,
Manuel Roxas,MAN-0044,MAN-0044-4,2,2,30400110,99,1,1,
Manuel Roxas,MAN-0044,MAN-0044-5,1,2,30400207,,,,
Manuel Roxas,MAN-0044,MAN-0044-6,1,2,50000002,,1,1,
Manuel Roxas,MAN-0045,MAN-0045-1,2,3,00000000,05,,,
Manuel Roxas,MAN-0045,MAN-0045-2,1,2,21400302,,,,
Manuel Roxas,MAN-0046,MAN-0046-1,2,2,11000202,10,,,
Manuel Roxas,MAN-0047,MAN-0047-1,1,2,11000105,,2,1,
Manuel Roxas,MAN-0047,MAN-0047-2,2,3,30400111,15,1,2,
Manuel Roxas,MAN-0048,MAN-0048-1,1,1,10000102,,,,
Manuel Roxas,MAN-0048,MAN-0048-2,1,1,30400111,,1,2,
Manuel Roxas,MAN-0048,MAN-0048-3,,,,,,,
Manuel Roxas,MAN-0048,MAN-0048-4,2,3,10000103,08,,,
Manuel Roxas,MAN-0048,MAN-0048-5,2,2,11000202,99,,,
Manuel Roxas,MAN-0048,MAN-0048-6,2,1,21400105,06,1,1,
Manuel Roxas,MAN-0049,MAN-0049-1,2,2,10000107,17,1,2,
Manuel Roxas,MAN-0049,MAN-0049-2,1,1,30400303,,1,2,
Manuel Roxas,MAN-0049,MAN-0049-3,,,,,,,
Manuel Roxas,MAN-0049,MAN-0049-4,1,2,60000001,,2,2,Electronics Repair
Manuel Roxas,MAN-0049,MAN-0049-5,1,2,10000103,,1,1,
Manuel Roxas,MAN-0050,MAN-0050-1,1,3,21400202,,1,1,
Manuel Roxas,MAN-0051,MAN-0051-1,2,1,30500010,16,,,
Manuel Roxas,MAN-0052,MAN-0052-1,1,2,30500009,,2,1,
Manuel Roxas,MAN-0053,MAN-0053-1,1,1,70000010,,2,2,
Manuel Roxas,MAN-0053,MAN-0053-2,2,2,00000000,11,,,
Manuel Roxas,MAN-0053,MAN-0053-3,1,1,30400108,,2,2,
Manuel Roxas,MAN-0053,MAN-0053-4,1,3,21400101,,2,2,
Manuel Roxas,MAN-0054,MAN-0054-1,1,3,30400208,,,,
Manuel Roxas,MAN-0054,MAN-0054-2,,,,,,,
Manuel Roxas,MAN-0054,MAN-0054-3,2,1,21400202,16,1,1,
Manuel Roxas,MAN-0055,MAN-0055-1,2,3,10000106,10,,,
Manuel Roxas,MAN-0055,MAN-0055-2,1,2,30400106,,2,1,
Manuel Roxas,MAN-0055,MAN-0055-3,2,2,20400101,12,1,2,Welding
Manuel Roxas,MAN-0055,MAN-0055-4,2,3,60000002,08,,,
Manuel Roxas,MAN-0055,MAN-0055-5,2,3,20400101,99,2,2,
Manuel Roxas,MAN-0055,MAN-0055-6,1,2,30400109,,2,1,
Manuel Roxas,MAN-0056,MAN-0056-1,1,3,10000101,,1,2,
Manuel Roxas,MAN-0057,MAN-0057-1,1,2,11000301,,,,
Manuel Roxas,MAN-0057,MAN-0057-2,1,3,11000302,,1,2,
Manuel Roxas,MAN-0057,MAN-0057-3,2,3,10000108,05,2,1,
Manuel Roxas,MAN-0057,MAN-0057-4,2,3,60000003,08,,,
Manuel Roxas,MAN-0057,MAN-0057-5,1,2,40000002,,1,1,
Manuel Roxas,MAN-0057,MAN-0057-6,2,1,60000004,03,2,2,
Manuel Roxas,MAN-0058,MAN-0058-1,1,1,30500010,,,,
Manuel Roxas,MAN-0058,MAN-0058-2,2,1,30400206,10,2,1,HVAC Servicing
Manuel Roxas,MAN-0058,MAN-0058-3,1,2,11000203,,1,2,
Manuel Roxas,MAN-0058,MAN-0058-4,2,2,30400106,12,2,1,
Don Aurelio Chicote,DON-0001,DON-0001-1,2,3,21400203,05,1,1,
Don Aurelio Chicote,DON-0001,DON-0001-2,1,2,80000010,,,,
Don Aurelio Chicote,DON-0001,DON-0001-3,2,2,70000010,02,,,
Don Aurelio Chicote,DON-0001,DON-0001-4,2,3,30400201,11,,,
Don Aurelio Chicote,DON-0001,DON-0001-5,1,1,30400109,,2,2,Net Making
Don Aurelio Chicote,DON-0002,DON-0002-1,1,1,10000101,,2,2,
Don Aurelio Chicote,DON-0002,DON-0002-2,1,3,21400105,,2,1,
Don Aurelio Chicote,DON-0003,DON-0003-1,2,1,01000000,09,2,2,
Don Aurelio Chicote,DON-0003,DON-0003-2,1,2,02000000,,,,
Don Aurelio Chicote,DON-0003,DON-0003-3,2,2,02100000,18,1,2,
Don Aurelio Chicote,DON-0003,DON-0003-4,2,3,30400111,09,,,
Don Aurelio Chicote,DON-0003,DON-0003-5,2,3,10000107,10,2,1,
Don Aurelio Chicote,DON-0004,DON-0004-1,2,1,21400202,16,1,2,Aquaculture
Don Aurelio Chicote,DON-0004,DON-0004-2,2,3,21400302,13,2,2,Barista Training
Don Aurelio Chicote,DON-0004,DON-0004-3,2,1,10000106,03,2,2,
Don Aurelio Chicote,DON-0005,DON-0005-1,2,3,02000000,08,2,1,
Don Aurelio Chicote,DON-0005,DON-0005-2,1,3,30400303,,2,1,
Don Aurelio Chicote,DON-0005,DON-0005-3,2,2,30400201,02,,,
Don Aurelio Chicote,DON-0005,DON-0005-4,2,3,11000103,03,,,
Don Aurelio Chicote,DON-0005,DON-0005-5,1,3,02000000,,2,2,
Don Aurelio Chicote,DON-0005,DON-0005-6,1,3,40000003,,2,2,
Don Aurelio Chicote,DON-0006,DON-0006-1,1,2,20400101,,1,2,
Don Aurelio Chicote,DON-0006,DON-0006-2,2,3,50000003,03,,,
Don Aurelio Chicote,DON-0006,DON-0006-3,1,1,10000101,,2,1,
Don Aurelio Chicote,DON-0006,DON-0006-4,1,1,50000002,,2,2,
Don Aurelio Chicote,DON-0007,DON-0007-1,2,1,50000002,16,,,
Don Aurelio Chicote,DON-0007,DON-0007-2,1,3,11000202,,,,
Don Aurelio Chicote,DON-0007,DON-0007-3,2,2,00000000,07,,,
Don Aurelio Chicote,DON-0008,DON-0008-1,1,2,10000104,,1,2,
Don Aurelio Chicote,DON-0009,DON-0009-1,1,3,30400207,,2,2,
Don Aurelio Chicote,DON-0009,DON-0009-2,2,3,11000203,99,1,1,
Don Aurelio Chicote,DON-0009,DON-0009-3,1,1,80000010,,1,2,
Don Aurelio Chicote,DON-0009,DON-0009-4,2,3,11000202,02,1,2,
Don Aurelio Chicote,DON-0009,DON-0009-5,2,3,21400202,11,2,2,
Don Aurelio Chicote,DON-0010,DON-0010-1,,,,,,,
Don Aurelio Chicote,DON-0010,DON-0010-2,2,1,02100000,13,,,
Don Aurelio Chicote,DON-0010,DON-0010-3,1,3,21400101,,2,2,Net Making
Don Aurelio Chicote,DON-0011,DON-0011-1,1,2,30400106,,1,1,
Don Aurelio Chicote,DON-0012,DON-0012-1,1,3,30500011,,,,
Don Aurelio Chicote,DON-0013,DON-0013-1,1,2,30500006,,2,1,
Don Aurelio Chicote,DON-0013,DON-0013-2,2,3,11000103,13,1,2,Housekeeping
Don Aurelio Chicote,DON-0013,DON-0013-3,1,2,30400303,,1,2,
Don Aurelio Chicote,DON-0013,DON-0013-4,1,3,10000101,,,,
Don Aurelio Chicote,DON-0014,DON-0014-1,2,2,21400105,17,2,2,
Don Aurelio Chicote,DON-0014,DON-0014-2,1,1,30400110,,1,1,
Don Aurelio Chicote,DON-0014,DON-0014-3,1,3,11000103,,2,1,Beauty Care
Don Aurelio Chicote,DON-0014,DON-0014-4,1,3,30500009,,2,1,
Don Aurelio Chicote,DON-0015,DON-0015-1,2,3,30500008,13,2,2,
Don Aurelio Chicote,DON-0015,DON-0015-2,1,1,00000000,,2,1,
Don Aurelio Chicote,DON-0015,DON-0015-3,2,2,30400201,05,1,2,
Don Aurelio Chicote,DON-0015,DON-0015-4,1,3,11000103,,1,1,Housekeeping
Don Aurelio Chicote,DON-0016,DON-0016-1,1,3,60000006,,1,1,
Don Aurelio Chicote,DON-0016,DON-0016-2,1,3,50000002,,2,2,
Don Aurelio Chicote,DON-0016,DON-0016-3,1,1,21400105,,2,1,
Don Aurelio Chicote,DON-0016,DON-0016-4,2,3,50000002,06,,,
Don Aurelio Chicote,DON-0016,DON-0016-5,1,1,30400106,,2,2,
Don Aurelio Chicote,DON-0017,DON-0017-1,2,2,11000108,03,,,
Don Aurelio Chicote,DON-0017,DON-0017-2,2,3,30400206,07,1,2,Food Processing
Don Aurelio Chicote,DON-0018,DON-0018-1,2,2,50000002,12,1,2,
Don Aurelio Chicote,DON-0018,DON-0018-2,1,3,21400301,,2,2,
Don Aurelio Chicote,DON-0018,DON-0018-3,1,3,30400208,,2,2,
Don Aurelio Chicote,DON-0019,DON-0019-1,2,1,70000010,17,1,2,
Don Aurelio Chicote,DON-0019,DON-0019-2,2,1,30500011,13,1,2,
Don Aurelio Chicote,DON-0019,DON-0019-3,1,1,11000203,,2,2,
Don Aurelio Chicote,DON-0020,DON-0020-1,2,1,50000003,11,2,2,
Don Aurelio Chicote,DON-0020,DON-0020-2,1,3,30400303,,2,2,Housekeeping
Don Aurelio Chicote,DON-0020,DON-0020-3,2,3,21400203,09,2,1,
Don Aurelio Chicote,DON-0020,DON-0020-4,2,2,30500010,15,,,
Don Aurelio Chicote,DON-0020,DON-0020-5,1,3,50000001,,2,2,
Don Aurelio Chicote,DON-0020,DON-0020-6,1,1,40000003,,,,
Don Aurelio Chicote,DON-0021,DON-0021-1,2,2,20400105,15,2,2,
Don Aurelio Chicote,DON-0021,DON-0021-2,2,1,10000106,16,1,2,
Don Aurelio Chicote,DON-0021,DON-0021-3,2,2,01000000,07,2,1,
Don Aurelio Chicote,DON-0021,DON-0021-4,1,1,60000006,,2,2,
Don Aurelio Chicote,DON-0022,DON-0022-1,2,2,21400105,12,,,
Don Aurelio Chicote,DON-0022,DON-0022-2,2,2,11000103,12,1,2,
Don Aurelio Chicote,DON-0022,DON-0022-3,1,3,50000002,,,,
Don Aurelio Chicote,DON-0022,DON-0022-4,1,3,60000005,,1,2,
Don Aurelio Chicote,DON-0022,DON-0022-5,1,3,10000107,,1,1,
Don Aurelio Chicote,DON-0022,DON-0022-6,1,3,30400201,,2,1,
Don Aurelio Chicote,DON-0023,DON-0023-1,2,1,50000001,03,1,1,
Don Aurelio Chicote,DON-0023,DON-0023-2,2,2,30400301,08,2,2,
Don Aurelio Chicote,DON-0023,DON-0023-3,,,,,,,
Don Aurelio Chicote,DON-0023,DON-0023-4,2,2,21400203,01,1,2,
